value;dimension;domain;variable;depth;datetime;location;experiment;fertilizer_tr;variety_tr;plantdensity_tr;plantingdate_tr;soilmanagement_tr;plantprotection_tr;repetition;
6456;kg/ha;maize;grainyield;0;1991-10-24 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
6473;kg/ha;maize;grainyield;0;1991-10-24 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
6707;kg/ha;maize;grainyield;0;1991-10-24 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
6157;kg/ha;maize;grainyield;0;1991-10-24 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
6909;kg/ha;maize;grainyield;0;1992-11-05 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
4989;kg/ha;maize;grainyield;0;1992-11-05 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
7044;kg/ha;maize;grainyield;0;1992-11-05 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
10526;kg/ha;maize;grainyield;0;1992-11-05 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
5501;kg/ha;maize;grainyield;0;1993-11-05 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
3522;kg/ha;maize;grainyield;0;1993-11-05 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
5557;kg/ha;maize;grainyield;0;1993-11-05 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
2410;kg/ha;maize;grainyield;0;1993-11-05 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
3060;kg/ha;maize;grainyield;0;1994-11-07 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
2970;kg/ha;maize;grainyield;0;1994-11-07 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
4310;kg/ha;maize;grainyield;0;1994-11-07 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
3220;kg/ha;maize;grainyield;0;1994-11-07 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
8410;kg/ha;maize;grainyield;0;1995-11-12 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
6320;kg/ha;maize;grainyield;0;1995-11-12 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
6990;kg/ha;maize;grainyield;0;1995-11-12 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
