value,dimension,domain,parameter,depth,datetime,experiment,treatment,repetition,equipment,person/logger
6456,kg ha-1,maize,graingrainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V01,1,,
8246,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V02,1,,
9122,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V03,1,,
8934,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V04,1,,
9325,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V05,1,,
5652,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V01,1,,
7454,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V02,1,,
7519,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V03,1,,
8463,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V04,1,,
9871,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V05,1,,
7448,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V01,1,,
6992,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V02,1,,
7644,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V03,1,,
7712,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V04,1,,
10050,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V05,1,,
6553,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V01,1,,
6313,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V02,1,,
7913,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V03,1,,
7835,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V04,1,,
9390,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V05,1,,
6784,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V01,1,,
6497,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V02,1,,
8563,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V03,1,,
7999,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V04,1,,
8646,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V05,1,,
6473,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V01,2,,
7785,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V02,2,,
8775,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V03,2,,
7997,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V04,2,,
8955,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V05,2,,
7157,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V01,2,,
8183,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V02,2,,
9098,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V03,2,,
9700,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V04,2,,
9565,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V05,2,,
6877,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V01,2,,
7348,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V02,2,,
9014,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V03,2,,
9266,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V04,2,,
9965,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V05,2,,
5830,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V01,2,,
8127,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V02,2,,
7595,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V03,2,,
8428,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V04,2,,
9531,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V05,2,,
6243,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V01,2,,
8658,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V02,2,,
8437,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V03,2,,
9100,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V04,2,,
10251,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V05,2,,
6707,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V01,3,,
7679,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V02,3,,
8747,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V03,3,,
9465,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V04,3,,
9729,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V05,3,,
6050,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V01,3,,
6985,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V02,3,,
8989,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V03,3,,
8629,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V04,3,,
10434,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V05,3,,
