"plotid","error","value"
"1",0,-4640.70000717257
"10",0,-4211.52802545807
"100",0,-2697.68317201387
"1000",0,-5208.6523239876
"1001",0,-3790.1277030528
"1002",0,-3106.58168410993
"1003",0,-3105.51726637476
"1004",0,-2127.31516194914
"1005",0,-114.511189384662
"1006",0,-1522.5549411142
"1007",0,-1908.67253123657
"1008",0,-2190.71355466652
"1009",0,-3421.40200027694
"101",0,-3681.89872218048
"1010",0,-2381.21754710115
"1011",0,3064.26705915178
"1012",0,-3179.32120836983
"1013",0,-3915.24588357703
"1014",0,-5111.68369246609
"1015",0,-4966.90554997181
"1016",0,-5007.25157284971
"1017",0,-5093.74825189658
"1018",0,-5231.48555958826
"1019",0,-5000.24379113007
"102",0,-2692.31768527202
"1020",0,-4854.89554081895
"1021",0,-3841.94971154619
"1022",0,-3341.68821299763
"1023",0,-3496.40949413131
"1024",0,-3435.62065970604
"1025",0,-2919.91214399864
"1026",0,-2473.80620322586
"1027",0,-2827.32565209698
"1028",0,-1538.12550897673
"1029",0,-2991.96904734877
"103",0,-2514.56855709088
"1030",0,-4391.5345750239
"1031",0,-4680.97083519222
"1032",0,-4550.74027723158
"1033",0,-5020.18584584248
"1034",0,-5361.40038717432
"1035",0,-3150.85922459736
"1036",0,-2165.9290960176
"1037",0,-1882.85492691961
"1038",0,-3055.0188172055
"1039",0,-3845.23383233954
"104",0,-3810.70352687184
"1040",0,-4867.83417049877
"1041",0,-3042.0811832235
"1042",0,-4716.6165292449
"1043",0,-5045.1587952386
"1044",0,-5122.42859523462
"1045",0,-4924.23924170514
"1046",0,-4707.00684254014
"1047",0,-5044.71296251646
"1048",0,-5863.04596134396
"1049",0,-3938.56367263487
"105",0,-4117.08981034307
"1050",0,-5118.73104709161
"1051",0,-4499.73638494702
"1052",0,-4610.34126256568
"1053",0,-4875.80166702847
"1054",0,-4677.88392881883
"1055",0,-4746.25914536399
"1056",0,-4373.40380498316
"1057",0,-2953.48838443105
"1058",0,-2629.28767405338
"1059",0,-4237.65035518786
"106",0,-4432.64331998681
"1060",0,-4536.68543680686
"1061",0,-4822.10784983386
"1062",0,-3840.12167835011
"1063",0,-2790.73256504494
"1064",0,-3584.71793556497
"1065",0,-4756.59325419822
"1066",0,-4977.87973858265
"1067",0,-5471.91330611546
"1068",0,-4347.08336431114
"1069",0,-5030.31322560067
"107",0,-4643.70962896569
"1070",0,-5180.0317500749
"1071",0,-3014.35853163971
"1072",0,-4065.22074903685
"1073",0,-4584.77676565683
"1074",0,-4341.33865279819
"1075",0,-4197.23845866439
"1076",0,-3738.3484360788
"1077",0,-4103.70596141205
"1078",0,-4584.55025349927
"1079",0,-4560.35788926546
"108",0,-4675.65619846177
"1080",0,-3764.72539659525
"1081",0,-4793.62038658897
"1082",0,-4364.42928927037
"1083",0,-3967.32933450917
"1084",0,-4446.44604690022
"1085",0,-4599.08032300676
"1086",0,-4210.69749254203
"1087",0,-5415.08848682557
"1088",0,-4838.80307185093
"1089",0,-4913.83713838905
"109",0,-4497.80438740782
"1090",0,-1017.74755228953
"1091",0,-1654.4532355195
"1092",0,-169.725761638268
"1093",0,-5115.12373131843
"1094",0,-4110.12650801825
"1095",0,-3067.51890751282
"1096",0,-4232.44730688674
"1097",0,-5506.78431244183
"1098",0,-5371.90839987699
"1099",0,-5048.37906190581
"11",0,-4445.24397815201
"110",0,-4501.28963296783
"1100",0,-4815.62489143948
"1101",0,-5438.41190206139
"1102",0,-2383.87779856311
"1103",0,-2368.31755474698
"1104",0,-3582.17609686241
"111",0,-4843.37820529778
"112",0,-4975.43304180326
"113",0,-4509.9443354394
"114",0,-5169.06309861545
"115",0,-4641.78133618083
"116",0,-4788.97636212114
"117",0,-4284.94087126492
"118",0,-1362.22525692252
"119",0,-2331.67702728304
"12",0,-4674.57842525912
"120",0,-2081.64245670572
"121",0,-2657.71348275978
"122",0,-2447.82057097933
"123",0,654.541688805918
"124",0,577.232717408097
"125",0,907.322239071086
"126",0,1026.48070657116
"127",0,575.731307514366
"128",0,-2043.88612680004
"129",0,-4531.30561620941
"13",0,-4611.41163478079
"130",0,-4749.33367501811
"131",0,-4473.79322738336
"132",0,-4922.39905612976
"133",0,-4970.07829972735
"134",0,-4898.56089287704
"135",0,-4863.88546471297
"136",0,-4897.57549600511
"137",0,-5010.45141989365
"138",0,-5107.31516450065
"139",0,-3833.06854725563
"14",0,-4796.29972207897
"140",0,-3432.82984561128
"141",0,-3185.12507507438
"142",0,-2408.37218991468
"143",0,-2180.37936889633
"144",0,-2999.65733811817
"145",0,-3961.05195085412
"146",0,-2616.87837408156
"147",0,-2292.39638763794
"148",0,-3810.87010304764
"149",0,-4407.14211486325
"15",0,-4834.73190783364
"150",0,-4359.21799067538
"151",0,-4580.86325813464
"152",0,-4542.23857183975
"153",0,-4857.99571146581
"154",0,-4001.94579212739
"155",0,-4499.63487801997
"156",0,-4594.77731654795
"157",0,-4594.99171727072
"158",0,-4383.12298137268
"159",0,-4721.98148001026
"16",0,-4999.32041128658
"160",0,-4813.49337694178
"161",0,-4751.6705355933
"162",0,-4260.88160455018
"163",0,-2354.72635365387
"164",0,-345.386939784396
"165",0,-132.605572180881
"166",0,-463.273101253622
"167",0,296.634856592541
"168",0,317.457918806026
"169",0,194.878203226502
"17",0,-5197.61448300842
"170",0,267.404423264546
"171",0,233.90174789102
"172",0,-391.411366944412
"173",0,-4206.23701242962
"174",0,-4603.10201362842
"175",0,-4825.82747651351
"176",0,-4767.51820697377
"177",0,-4807.11681477725
"178",0,-4852.12760641661
"179",0,-4849.20881281774
"18",0,-5070.59704321428
"180",0,-4767.40541218702
"181",0,-4737.20214127586
"182",0,-4772.79765642341
"183",0,-4616.98711854103
"184",0,-4460.68794486113
"185",0,-3462.07448135733
"186",0,-3354.51341338343
"187",0,-3038.48688357671
"188",0,-2910.6170992603
"189",0,-2936.17743705689
"19",0,-3176.14411644581
"190",0,-2717.80464149831
"191",0,-3806.53524124628
"192",0,-4004.80035951028
"193",0,-2521.55401266083
"194",0,-2375.08486435466
"195",0,-3884.63947563537
"196",0,-4083.52762726955
"197",0,-4208.35452237862
"198",0,-4150.47986408724
"199",0,-4209.54726463954
"2",0,-4795.41988149501
"20",0,-2253.96436573549
"200",0,-4146.47315633994
"201",0,-4199.30768069616
"202",0,-3577.57923219912
"203",0,-4277.53261920424
"204",0,-4359.72734452119
"205",0,-3671.26767734314
"206",0,-3980.83024831317
"207",0,-4222.13703521095
"208",0,-4127.49536036283
"209",0,-4001.35904702506
"21",0,-2659.7689279163
"210",0,-2581.97059352978
"211",0,-328.237044085712
"212",0,54.1193248147374
"213",0,-830.969771047371
"214",0,-652.730870910403
"215",0,-675.99804483562
"216",0,2137.13869066401
"217",0,400.110198393363
"218",0,-134.062025856953
"219",0,-3049.60089567954
"22",0,-3602.71416687998
"220",0,-4278.05212057946
"221",0,-4456.6090745337
"222",0,-4726.20975687331
"223",0,-4589.20539738294
"224",0,-5049.02276617047
"225",0,-4674.44593367456
"226",0,-4612.83183614055
"227",0,-4577.63024775795
"228",0,-4772.50712949273
