"","x"
"1",23
"2",24
"3",23
"4",21
"5",22
"6",25
"7",28
"8",23
"9",22
"10",23
"11",23
"12",26
"13",24
"14",25
"15",29
"16",27
"17",28
"18",27
"19",15
"20",10
"21",13
"22",19
"23",22
"24",24
"25",27
"26",27
"27",27
"28",29
"29",29
"30",31
"31",30
"32",32
"33",33
"34",25
"35",24
"36",18
"37",13
"38",11
"39",7
"40",10
"41",18
"42",21
"43",21
"44",23
"45",23
"46",23
"47",29
"48",32
"49",29
"50",29
"51",28
"52",28
"53",21
"54",16
"55",17
"56",15
"57",12
"58",7
"59",19
"60",12
"61",12
"62",10
"63",7
"64",9
"65",18
"66",19
"67",20
"68",21
"69",23
"70",25
"71",27
"72",28
"73",28
"74",25
"75",27
"76",25
"77",21
"78",12
"79",15
"80",14
"81",12
"82",8
"83",7
"84",3
"85",3
"86",3
"87",6
"88",10
"89",29
"90",31
"91",35
"92",35
"93",31
"94",29
"95",29
"96",19
"97",22
"98",16
"99",10
"100",13
"101",16
"102",12
"103",13
"104",18
"105",19
"106",21
"107",23
"108",26
"109",26
"110",27
"111",28
"112",27
"113",22
"114",25
"115",23
"116",19
"117",18
"118",9
"119",6
"120",7
"121",7
"122",6
"123",2
"124",3
"125",4
"126",5
"127",9
"128",26
"129",36
"130",42
"131",42
"132",30
"133",30
"134",29
"135",27
"136",26
"137",26
"138",25
"139",21
"140",17
"141",15
"142",14
"143",10
"144",14
"145",18
"146",13
"147",11
"148",19
"149",22
"150",23
"151",25
"152",25
"153",23
"154",25
"155",26
"156",25
"157",23
"158",19
"159",20
"160",22
"161",22
"162",20
"163",8
"164",3
"165",2
"166",3
"167",2
"168",3
"169",4
"170",6
"171",7
"172",16
"173",42
"174",40
"175",34
"176",32
"177",31
"178",31
"179",29
"180",27
"181",26
"182",25
"183",25
"184",21
"185",20
"186",20
"187",17
"188",16
"189",15
"190",12
"191",17
"192",17
"193",12
"194",12
"195",20
"196",21
"197",24
"198",25
"199",25
"200",24
"201",24
"202",24
"203",23
"204",23
"205",17
"206",18
"207",18
"208",19
"209",19
"210",12
"211",4
"212",2
"213",2
"214",3
"215",4
"216",5
"217",5
"218",9
"219",31
"220",39
"221",36
"222",35
"223",31
"224",32
"225",31
"226",30
"227",27
"228",24
"229",20
"230",27
"231",20
"232",19
"233",23
"234",21
"235",18
"236",15
"237",16
"238",15
"239",18
"240",20
"241",13
"242",12
"243",20
"244",22
"245",22
"246",23
"247",24
"248",23
"249",22
"250",21
"251",19
"252",19
"253",15
"254",13
"255",15
"256",15
"257",16
"258",10
"259",6
"260",2
"261",2
"262",2
"263",3
"264",5
"265",8
"266",16
"267",21
"268",39
"269",36
"270",34
"271",33
"272",30
"273",30
"274",28
"275",27
"276",26
"277",28
"278",30
"279",34
"280",23
"281",22
"282",20
"283",20
"284",21
"285",20
"286",19
"287",20
"288",19
"289",18
"290",22
"291",20
"292",19
"293",19
"294",20
"295",23
"296",23
"297",23
"298",22
"299",22
"300",22
"301",19
"302",17
"303",11
"304",15
"305",17
"306",14
"307",14
"308",13
"309",5
"310",4
"311",3
"312",3
"313",3
"314",7
"315",13
"316",19
"317",22
"318",37
"319",37
"320",37
"321",37
"322",34
"323",34
"324",34
"325",32
"326",33
"327",37
"328",39
"329",43
"330",45
"331",51
"332",22
"333",22
"334",20
"335",20
"336",20
"337",17
"338",19
"339",21
"340",22
"341",16
"342",21
"343",15
"344",20
"345",22
"346",21
"347",22
"348",22
"349",24
"350",23
"351",22
"352",20
"353",22
"354",20
"355",16
"356",18
"357",13
"358",15
"359",15
"360",17
"361",8
"362",7
"363",8
"364",3
"365",8
"366",12
"367",13
"368",14
"369",27
"370",32
"371",36
"372",39
"373",40
"374",39
"375",36
"376",35
"377",33
"378",33
"379",43
"380",51
"381",52
"382",46
"383",46
"384",20
"385",23
"386",23
"387",21
"388",20
"389",20
"390",19
"391",16
"392",16
"393",18
"394",16
"395",15
"396",19
"397",14
"398",20
"399",25
"400",27
"401",26
"402",24
"403",25
"404",24
"405",24
"406",23
"407",17
"408",19
"409",20
"410",15
"411",14
"412",14
"413",16
"414",17
"415",7
"416",6
"417",4
"418",2
"419",9
"420",10
"421",6
"422",8
"423",24
"424",27
"425",34
"426",40
"427",40
"428",40
"429",43
"430",39
"431",42
"432",44
"433",44
"434",45
"435",46
"436",45
"437",41
"438",36
"439",25
"440",25
"441",23
"442",19
"443",17
"444",14
"445",13
"446",15
"447",17
"448",17
"449",15
"450",15
"451",19
"452",23
"453",23
"454",24
"455",25
"456",27
"457",27
"458",26
"459",20
"460",19
"461",22
"462",19
"463",18
"464",18
"465",18
"466",18
"467",16
"468",9
"469",2
"470",3
"471",4
"472",4
"473",8
"474",5
"475",8
"476",12
"477",28
"478",36
"479",37
"480",41
"481",43
"482",42
"483",47
"484",44
"485",44
"486",43
"487",42
"488",39
"489",37
"490",37
"491",31
"492",24
"493",24
"494",21
"495",21
"496",16
"497",14
"498",16
"499",16
"500",13
"501",15
"502",14
"503",15
"504",17
"505",19
"506",22
"507",24
"508",24
"509",26
"510",25
"511",18
"512",20
"513",20
"514",21
"515",20
"516",19
"517",17
"518",20
"519",20
"520",12
"521",3
"522",3
"523",3
"524",4
"525",6
"526",9
"527",18
"528",28
"529",30
"530",37
"531",39
"532",41
"533",44
"534",39
"535",43
"536",41
"537",43
"538",42
"539",41
"540",38
"541",37
"542",36
"543",30
"544",26
"545",28
"546",25
"547",26
"548",23
"549",21
"550",18
"551",19
"552",17
"553",14
"554",14
"555",14
"556",15
"557",15
"558",16
"559",18
"560",19
"561",18
"562",19
"563",20
"564",20
"565",26
"566",23
"567",22
"568",20
"569",20
"570",18
"571",20
"572",19
"573",13
"574",5
"575",7
"576",7
"577",13
"578",19
"579",21
"580",22
"581",30
"582",39
"583",41
"584",44
"585",42
"586",39
"587",36
"588",43
"589",45
"590",44
"591",41
"592",37
"593",35
"594",37
"595",31
"596",27
"597",26
"598",26
"599",26
"600",27
"601",27
"602",24
"603",23
"604",23
"605",15
"606",16
"607",16
"608",18
"609",15
"610",16
"611",14
"612",16
"613",18
"614",18
"615",15
"616",16
"617",18
"618",18
"619",17
"620",16
"621",20
"622",20
"623",18
"624",13
"625",12
"626",12
"627",7
"628",6
"629",13
