"plotid","error","value"
"1",0,-411.089155470896
"10",0,-546.41257357876
"100",0,251.681851715766
"1000",0,-244.233440220522
"1001",0,-78.4910177932743
"1002",0,66.3372216521566
"1003",0,219.633559620823
"1004",0,438.784464472849
"1005",0,235.798994870954
"1006",0,557.367441992378
"1007",0,481.487772207885
"1008",0,72.7277716722647
"1009",0,-16.2077315927399
"101",0,-534.514022594496
"1010",0,-116.832286210998
"1011",0,27.8715820176158
"1012",0,308.054004911235
"1013",0,517.223861562807
"1014",0,143.844524990765
"1015",0,605.407026219273
"1016",0,202.684342384984
"1017",0,670.338889708069
"1018",0,769.421502577259
"1019",0,1167.11363327668
"102",0,-205.539567058708
"1020",0,-140.335335622436
"1021",0,-280.845585903062
"1022",0,-58.1500117623818
"1023",0,-678.150819337981
"1024",0,-175.012779384222
"1025",0,111.915289681827
"1026",0,-324.821418384531
"1027",0,-362.556477097152
"1028",0,2181.18050214372
"1029",0,-568.988712017946
"103",0,-416.501361834084
"1030",0,-223.146095153446
"1031",0,-285.030961124075
"1032",0,-342.996642994278
"1033",0,-256.935702013272
"1034",0,-270.934057166576
"1035",0,-16.9304924515654
"1036",0,450.389982370842
"1037",0,489.537603981834
"1038",0,115.536517675398
"1039",0,245.993345774294
"104",0,-160.421717226431
"1040",0,-102.633156531341
"1041",0,-151.45210878067
"1042",0,-21.5987563383678
"1043",0,-57.1270061925024
"1044",0,659.330660926413
"1045",0,99.118760115698
"1046",0,85.7340555704359
"1047",0,518.420237079217
"1048",0,-34.4110908172734
"1049",0,-188.776007787981
"105",0,-51.1822679214802
"1050",0,638.624608000626
"1051",0,-145.237359624522
"1052",0,77.743292560579
"1053",0,680.73258915147
"1054",0,723.388057699738
"1055",0,163.447092198167
"1056",0,-275.416572598137
"1057",0,-551.525742014308
"1058",0,-610.350616350865
"1059",0,-406.163050844749
"106",0,-137.380361112439
"1060",0,-246.555946078497
"1061",0,-398.798029650261
"1062",0,255.575697635966
"1063",0,-140.566463155243
"1064",0,-88.8394928806083
"1065",0,154.661681839942
"1066",0,-45.999681504547
"1067",0,-116.019950160342
"1068",0,-124.075638311051
"1069",0,436.954086793916
"107",0,-175.579512554737
"1070",0,-266.056807272542
"1071",0,-187.826841149202
"1072",0,382.040641350428
"1073",0,17.7006958735219
"1074",0,99.4765628346922
"1075",0,661.726380721293
"1076",0,370.394643291243
"1077",0,474.780374576259
"1078",0,289.00866993401
"1079",0,-222.039849761495
"108",0,-82.8750986804698
"1080",0,-701.30978159794
"1081",0,-259.99207678118
"1082",0,62.0991403116077
"1083",0,-47.173931196483
"1084",0,88.4963143605946
"1085",0,-15.4142682456077
"1086",0,-87.7869036545089
"1087",0,-47.1907144441611
"1088",0,31.709682628134
"1089",0,527.351076048701
"109",0,-218.006536241026
"1090",0,-75.1019102363134
"1091",0,103.961158056984
"1092",0,293.041774483282
"1093",0,56.9209211707548
"1094",0,-120.343707470347
"1095",0,7.29082339037723
"1096",0,-30.0900242753396
"1097",0,-323.602807475583
"1098",0,33.4144244452709
"1099",0,-135.180112048405
"11",0,-478.242066878025
"110",0,-159.10646287417
"1100",0,-260.419227511613
"1101",0,-71.9914058223203
"1102",0,156.648802507392
"1103",0,554.59074335939
"1104",0,174.395070426604
"111",0,-32.6861553365652
"112",0,-209.075662109779
"113",0,-190.461996464877
"114",0,-62.9792290244332
"115",0,190.198988573931
"116",0,73.3016039633985
"117",0,-100.32835098653
"118",0,1957.18114992825
"119",0,422.986298239739
"12",0,-476.1126810075
"120",0,1066.67040064585
"121",0,500.244298632715
"122",0,834.31580989222
"123",0,2445.2408267345
"124",0,1886.42906493038
"125",0,2261.52974884222
"126",0,1658.17687480078
"127",0,1627.68822437794
"128",0,1084.19602407268
"129",0,115.9418489213
"13",0,-427.593227817704
"130",0,-303.71522581209
"131",0,-296.021316860642
"132",0,-211.598288116633
"133",0,-187.351994162776
"134",0,-11.6441719622817
"135",0,55.8866476662515
"136",0,-61.9165749894437
"137",0,-35.2615663203342
"138",0,216.641667009866
"139",0,-184.005050584639
"14",0,-445.875037811016
"140",0,-23.6984618848073
"141",0,291.83996219105
"142",0,141.706143570513
"143",0,119.047191504219
"144",0,70.4075074993598
"145",0,-590.989144482603
"146",0,-12.00179904371
"147",0,-96.9206609028752
"148",0,-364.540929153844
"149",0,-142.784468405196
"15",0,-362.996219412724
"150",0,-323.595818942073
"151",0,-283.375785437975
"152",0,-123.130989726169
"153",0,-188.962402912966
"154",0,-241.574816592372
"155",0,-151.544278258561
"156",0,-258.099457998285
"157",0,-48.7509705427619
"158",0,-277.214831311076
"159",0,-189.378386413431
"16",0,-230.933469199052
"160",0,83.0676145465241
"161",0,-150.400644560106
"162",0,-191.812357046578
"163",0,293.410240353137
"164",0,2476.17682304995
"165",0,509.077927718487
"166",0,1708.08284313835
"167",0,2673.54023810971
"168",0,2429.32985737498
"169",0,2534.9184572215
"17",0,-291.292713652423
"170",0,1899.69104786051
"171",0,1932.06366159198
"172",0,1509.83014830807
"173",0,412.572719623526
"174",0,-276.320619639853
"175",0,-306.130190709606
"176",0,-328.374847479847
"177",0,-126.118382129132
"178",0,-269.917630122975
"179",0,-199.386747750781
"18",0,78.9098618842963
"180",0,-170.143732244294
"181",0,-88.1286233505816
"182",0,123.190179743184
"183",0,428.235969176787
"184",0,191.389990719621
"185",0,606.672890854454
"186",0,70.5588782169416
"187",0,228.60478085216
"188",0,327.494304780939
"189",0,347.080384856985
"19",0,-535.432507828642
"190",0,1094.59735902301
"191",0,-44.4655070882673
"192",0,-100.182617429266
"193",0,174.305696217189
"194",0,44.3348540598345
"195",0,-356.529409090725
"196",0,-217.259389063058
"197",0,-233.821514458979
"198",0,-146.623684335062
"199",0,-159.38607314332
"2",0,-511.298629053485
"20",0,-201.04957078689
"200",0,-265.69738627733
