"plotid","error","value"
"1",0,-3719.03654667905
"10",0,-3750.99682080416
"100",0,-3130.21655137232
"1000",0,-1831.02114979203
"1001",0,-1269.0086639862
"1002",0,-1310.26454453091
"1003",0,-1407.68918621193
"1004",0,-1411.1005922238
"1005",0,-1416.8535056091
"1006",0,-1469.73184172946
"1007",0,-1741.91427076092
"1008",0,-1786.71716431238
"1009",0,-1780.26328823119
"101",0,-3146.7718655077
"1010",0,-1997.67152270676
"1011",0,-2775.79972256476
"1012",0,-2694.10811238615
"1013",0,-2462.23845636641
"1014",0,-2074.47115771985
"1015",0,-2050.31825273004
"1016",0,-2076.59366713463
"1017",0,-2107.72751591106
"1018",0,-2087.88225824929
"1019",0,-2082.89587375018
"102",0,-3151.2432909984
"1020",0,-2016.97945202774
"1021",0,-1929.83059825286
"1022",0,-1921.65320820127
"1023",0,-1910.81043912404
"1024",0,-1888.58592660333
"1025",0,-1849.19266854682
"1026",0,-1929.17187017109
"1027",0,-1953.53279578071
"1028",0,-1909.13875558475
"1029",0,-1854.48774266816
"103",0,-3181.95556558028
"1030",0,-1826.9393735099
"1031",0,-1822.66206225411
"1032",0,-1823.05405833034
"1033",0,-1787.80132753744
"1034",0,-1807.48623511056
"1035",0,-1248.03633903272
"1036",0,-1425.01491776304
"1037",0,-2218.70469959099
"1038",0,-2195.61230333868
"1039",0,-2190.87295021283
"104",0,-3164.40495276858
"1040",0,-2211.05775442796
"1041",0,-2306.71705244083
"1042",0,-2242.37289874635
"1043",0,-2456.7111048979
"1044",0,-2092.28798658302
"1045",0,-2004.37902841425
"1046",0,-2036.46826771781
"1047",0,-2050.80883906651
"1048",0,-2302.85430369354
"1049",0,-2096.8903548178
"105",0,-3370.34121032642
"1050",0,-2066.91602657025
"1051",0,-2071.44266901782
"1052",0,-2029.60345519002
"1053",0,-2013.85404513372
"1054",0,-1889.45270369399
"1055",0,-1891.30521820414
"1056",0,-1896.4870158439
"1057",0,-1957.76861868546
"1058",0,-1915.34272545479
"1059",0,-1859.88194522059
"106",0,-3207.24408654296
"1060",0,-1843.17863104547
"1061",0,-1839.10649758337
"1062",0,-2058.78293282335
"1063",0,-2272.15072368224
"1064",0,-2287.57556856198
"1065",0,-2084.73915485865
"1066",0,-2167.72213050999
"1067",0,-2171.84283586072
"1068",0,-2037.67570247807
"1069",0,-2084.98900607551
"107",0,-4021.24918148132
"1070",0,-2079.04585669242
"1071",0,-2415.69513514697
"1072",0,-2548.43019579207
"1073",0,-2111.82103839992
"1074",0,-2059.88863275864
"1075",0,-2033.14931822168
"1076",0,-1976.02115031387
"1077",0,-1973.68229386961
"1078",0,-2006.41740254535
"1079",0,-1854.73663986367
"108",0,-3839.61379457261
"1080",0,-1872.62123793493
"1081",0,-1862.03900752727
"1082",0,-2238.20485516269
"1083",0,-2205.63411972362
"1084",0,-2078.05293955768
"1085",0,-2144.84928900151
"1086",0,-2226.28144355499
"1087",0,-2222.00220703008
"1088",0,-2111.68562183391
"1089",0,-2069.47757562974
"109",0,-3844.35583457009
"1090",0,-2492.91454261144
"1091",0,-2561.68836947286
"1092",0,-2789.40160737427
"1093",0,-2067.48180473662
"1094",0,-1804.60098593791
"1095",0,-2487.74803272592
"1096",0,-2479.58782808696
"1097",0,-2247.53598755918
"1098",0,-2254.14644277457
"1099",0,-2243.35820612936
"11",0,-3756.44363079049
"110",0,-3899.19031988783
"1100",0,-2094.37341262408
"1101",0,-2495.04117565081
"1102",0,-2653.21114435803
"1103",0,-2752.88637207099
"1104",0,-2060.91925035159
"111",0,-4246.17520478887
"112",0,-4292.28524272798
"113",0,-4285.54557111297
"114",0,-4320.24597004108
"115",0,-4441.97281824067
"116",0,-4385.29558462449
"117",0,-2417.0289845604
"118",0,-2403.41219669684
"119",0,-2444.9158431409
"12",0,-3772.10311179821
"120",0,-2532.12920226816
"121",0,-2379.79525934902
"122",0,-2309.10064891579
"123",0,-2357.68511319597
"124",0,-2300.7120872993
"125",0,-2309.2819429205
"126",0,-2295.91792162679
"127",0,-2309.32000702925
"128",0,-2333.38387861765
"129",0,-2283.59306916859
"13",0,-3775.21951015191
"130",0,-2326.91491861839
"131",0,-2334.86703369519
"132",0,-2289.53641766685
"133",0,-2273.19646070563
"134",0,-2206.01828312613
"135",0,-2875.88842279736
"136",0,-2844.29439305116
"137",0,-2839.8729240329
"138",0,-2988.31581261866
"139",0,-2818.31870669283
"14",0,-3780.25489225005
"140",0,-2811.97483125641
"141",0,-2835.57898119627
"142",0,-3257.04385021441
"143",0,-3155.47839465496
"144",0,-3154.4098358129
"145",0,-3151.22291809226
"146",0,-3170.7857355987
"147",0,-3179.57538081166
"148",0,-3191.4881110724
"149",0,-3230.45164519298
"15",0,-3785.46287371367
"150",0,-3263.30311577215
"151",0,-3287.0533240114
"152",0,-4240.59104245601
"153",0,-4267.25181073248
"154",0,-3913.72496852027
"155",0,-4451.67467522574
"156",0,-4292.82985871308
"157",0,-4354.4817813739
"158",0,-4372.10308062625
"159",0,-4395.61827716404
"16",0,-3820.28196631327
"160",0,-2413.99852360172
"161",0,-2448.08190538916
"162",0,-2448.85412441837
"163",0,-2442.87459883058
"164",0,-2447.93853830715
"165",0,-2441.82339738197
"166",0,-2430.55393950031
"167",0,-2390.48127485281
"168",0,-2386.20674066523
"169",0,-2381.2500041603
"17",0,-3875.07314113469
"170",0,-2350.5622737135
"171",0,-2340.20855671921
"172",0,-2338.05594082809
"173",0,-2266.77579516655
"174",0,-2333.08032318379
"175",0,-2323.60133636992
"176",0,-2265.45550094955
"177",0,-2902.41256462973
"178",0,-2923.5740500352
"179",0,-2884.8207333272
"18",0,-3854.43172114932
"180",0,-2862.91465606351
"181",0,-2854.71053498933
"182",0,-2846.75422930293
"183",0,-2845.40634568528
"184",0,-2730.07433479155
"185",0,-2750.41379798852
"186",0,-2947.46856463905
"187",0,-2995.74932028872
"188",0,-2873.36901544547
"189",0,-2897.79864086867
"19",0,-3110.98713457841
"190",0,-2878.13451045487
"191",0,-3178.28792763383
"192",0,-3161.29352841756
"193",0,-3206.96497463435
"194",0,-3200.83429742724
"195",0,-3208.96885787674
"196",0,-3227.55710872695
"197",0,-3266.65230055391
"198",0,-3272.19584097667
"199",0,-4220.64122155305
"2",0,-3722.70827215455
"20",0,-3139.30559408179
"200",0,-4249.80923207104
"201",0,-4276.3122235825
"202",0,-4276.18289581277
"203",0,-4297.87561236133
"204",0,-4340.34490215049
"205",0,-4370.43403985174
"206",0,-4370.58972090551
"207",0,-4420.06705826051
"208",0,-2485.7210783194
"209",0,-2489.04959554917
"21",0,-3139.17718834318
"210",0,-2503.94149733925
"211",0,-2510.56183099411
"212",0,-2461.55765096211
"213",0,-2436.61752509769
"214",0,-2413.82927050906
"215",0,-2390.73847298127
"216",0,-2614.73420098716
"217",0,-2397.9813019967
"218",0,-2383.05554800837
"219",0,-2371.31395280571
"22",0,-3766.27446016377
"220",0,-2319.04466060422
"221",0,-2298.6312377299
"222",0,-2318.91300806173
"223",0,-2272.08242209622
"224",0,-2328.68589534364
"225",0,-2896.52016303684
"226",0,-2884.85397170945
"227",0,-2868.40416216923
"228",0,-3002.2646318787
"229",0,-2851.40163489232
"23",0,-3781.83273628938
"230",0,-2887.08536659952
"231",0,-2699.55579822795
"232",0,-2765.2312372555
"233",0,-2933.89412349937
"234",0,-2971.37426545285
"235",0,-3151.1670591159
"236",0,-2884.44094168275
"237",0,-2905.69759560758
"238",0,-2942.14041627545
"239",0,-3210.45660437242
"24",0,-3807.30765164441
"240",0,-3190.99868796891
"241",0,-3227.83943290178
"242",0,-3260.43410855709
"243",0,-3220.10905617581
"244",0,-3250.05853072272
"245",0,-3562.6424168959
"246",0,-3273.98929579439
"247",0,-4231.63872859671
"248",0,-4269.14258870897
"249",0,-4249.09200858329
"25",0,-3803.85270187648
"250",0,-4333.37733079201
"251",0,-4312.30655905757
"252",0,-4351.50389546492
"253",0,-4358.10829633154
"254",0,-4347.82797688238
"255",0,-2480.77598171041
"256",0,-2496.81603653102
"257",0,-2504.85739386724
"258",0,-2493.05718159124
"259",0,-2512.71674749131
"26",0,-3790.24817401151
"260",0,-2508.73054766143
