"","x"
"1",NA
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",NA
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",NA
"19",1
"20",NA
"21",NA
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",NA
"39",NA
"40",NA
"41",1
"42",1
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",1
"76",1
"77",NA
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",NA
"85",NA
"86",NA
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",NA
"97",1
"98",1
"99",NA
"100",NA
"101",1
"102",NA
"103",1
"104",NA
"105",NA
"106",NA
"107",NA
"108",1
"109",NA
"110",1
"111",1
"112",1
"113",NA
"114",1
"115",1
"116",NA
"117",1
"118",NA
"119",NA
"120",1
"121",1
"122",1
"123",NA
"124",NA
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",NA
"142",1
"143",NA
"144",NA
"145",1
"146",NA
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",NA
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",NA
"164",NA
"165",NA
"166",1
"167",NA
"168",NA
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",1
"181",1
"182",1
"183",1
"184",NA
"185",NA
"186",NA
"187",NA
"188",NA
"189",1
"190",NA
"191",1
"192",1
"193",NA
"194",1
"195",1
"196",1
"197",1
"198",1
"199",1
"200",1
"201",1
"202",1
"203",1
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",NA
"211",NA
"212",NA
"213",NA
"214",NA
"215",1
"216",1
"217",1
"218",NA
"219",1
"220",1
"221",1
"222",1
"223",1
"224",1
"225",1
"226",1
"227",1
"228",1
"229",1
"230",1
"231",NA
"232",NA
"233",NA
"234",NA
"235",NA
"236",1
"237",NA
"238",1
"239",1
"240",1
"241",1
"242",1
"243",1
"244",1
"245",1
"246",1
"247",1
"248",1
"249",NA
"250",1
"251",1
"252",1
"253",1
