"","x"
"1",0.705786
"2",0.706015
"3",0.708081
"4",0.708122
"5",0.708808
"6",0.710077
"7",0.73988
"8",0.711443
"9",0.70765
"10",0.692906
"11",0.688956
"12",0.691977
"13",0.712787
"14",0.707326
"15",0.717043
"16",0.71981
"17",0.725685
"18",0.735986
"19",0.705505
"20",0.700836
"21",0.699196
"22",0.704229
"23",0.68814
"24",0.675999
"25",0.688812
"26",0.687378
"27",0.684764
"28",0.693387
"29",0.700213
"30",0.72501
"31",0.72694
"32",0.731627
"33",0.735168
"34",0.723944
"35",0.721272
"36",0.705944
"37",0.709818
"38",0.700302
"39",0.692861
"40",0.696705
"41",0.700621
"42",0.694092
"43",0.705031
"44",0.652547
"45",0.669036
"46",0.672227
"47",0.695765
"48",0.668388
"49",0.713928
"50",0.732241
"51",0.736852
"52",0.721615
"53",0.72357
"54",0.716877
"55",0.72963
"56",0.72139
"57",0.72479
"58",0.718956
"59",0.742283
"60",0.729411
"61",0.708612
"62",0.698719
"63",0.711932
"64",0.701489
"65",0.660594
"66",0.656058
"67",0.658186
"68",0.658442
"69",0.649622
"70",0.695671
"71",0.696489
"72",0.705905
"73",0.677442
"74",0.67952
"75",0.711171
"76",0.715276
"77",0.723073
"78",0.728854
"79",0.724761
"80",0.735627
"81",0.685352
"82",0.722814
"83",0.724407
"84",0.701142
"85",0.688234
"86",0.677035
"87",0.679913
"88",0.661058
"89",0.656386
"90",0.645952
"91",0.644141
"92",0.649119
"93",0.652462
"94",0.658382
"95",0.671975
"96",0.747324
"97",0.737109
"98",0.732576
"99",0.72113
"100",0.721655
"101",0.717394
"102",0.708156
"103",0.696333
"104",0.707079
"105",0.660582
"106",0.703403
"107",0.665057
"108",0.680997
"109",0.68216
"110",0.686646
"111",0.70485
"112",0.691768
"113",0.719938
"114",0.703823
"115",0.704865
"116",0.717718
"117",0.721587
"118",0.712498
"119",0.733266
"120",0.7043
"121",0.737281
"122",0.73853
"123",0.716486
"124",0.713016
"125",0.673664
"126",0.664283
"127",0.653079
"128",0.656674
"129",0.64985
"130",0.640218
"131",0.639316
"132",0.646147
"133",0.660834
"134",0.665919
"135",0.665008
"136",0.674212
"137",0.669052
"138",0.635695
"139",0.734516
"140",0.743596
"141",0.734283
"142",0.72254
"143",0.71853
"144",0.712341
"145",0.714288
"146",0.694466
"147",0.690845
"148",0.685255
"149",0.689507
"150",0.683569
"151",0.682568
"152",0.684304
"153",0.68305
"154",0.703731
"155",0.657102
"156",0.694497
"157",0.697456
"158",0.69997
"159",0.695765
"160",0.724049
"161",0.72745
"162",0.725284
"163",0.715388
"164",0.720966
"165",0.719642
"166",0.717594
"167",0.713316
"168",0.710281
"169",0.705937
"170",0.687173
"171",0.676689
"172",0.658612
"173",0.668828
"174",0.652574
"175",0.663129
"176",0.666641
"177",0.673814
"178",0.654237
"179",0.655687
"180",0.661715
"181",0.678429
"182",0.671483
"183",0.667731
"184",0.775203
"185",0.759679
"186",0.724567
"187",0.718962
"188",0.737743
"189",0.735204
"190",0.722269
"191",0.713027
"192",0.711023
"193",0.683138
"194",0.681071
"195",0.679954
"196",0.680426
"197",0.682129
"198",0.684154
"199",0.685434
"200",0.682432
"201",0.682541
"202",0.681003
"203",0.683183
"204",0.697444
"205",0.692004
"206",0.695346
"207",0.70234
"208",0.707922
"209",0.712462
"210",0.696809
"211",0.713612
"212",0.704885
"213",0.701362
"214",0.707787
"215",0.705463
"216",0.659159
"217",0.686248
"218",0.672816
"219",0.671833
"220",0.673123
"221",0.659714
"222",0.655949
"223",0.663968
"224",0.642992
"225",0.660934
"226",0.658155
"227",0.683288
"228",0.658833
"229",0.686138
"230",0.681702
"231",0.783961
"232",0.765431
"233",0.732143
"234",0.730113
"235",0.709433
"236",0.745516
"237",0.738302
"238",0.714777
"239",0.703707
"240",0.705627
"241",0.675321
"242",0.658093
"243",0.686366
"244",0.682062
"245",0.635205
"246",0.686064
"247",0.688997
"248",0.670779
"249",0.67608
"250",0.674574
"251",0.697298
"252",0.682037
"253",0.685873
"254",0.690693
"255",0.691411
"256",0.698304
"257",0.71082
"258",0.694354
"259",0.710397
"260",0.695275
"261",0.6948
"262",0.715753
"263",0.722768
"264",0.719913
"265",0.710133
"266",0.685675
"267",0.672967
"268",0.66952
"269",0.679627
"270",0.66288
"271",0.678626
"272",0.673732
"273",0.663206
"274",0.685494
"275",0.68397
"276",0.689538
"277",0.690438
"278",0.645746
"279",0.683439
"280",0.789576
"281",0.75147
"282",0.739059
"283",0.745646
"284",0.719726
"285",0.741097
"286",0.733354
"287",0.71607
"288",0.721189
"289",0.696294
"290",0.680426
"291",0.670191
"292",0.663097
"293",0.637983
"294",0.678809
"295",0.682244
"296",0.647122
"297",0.636498
"298",0.663231
"299",0.669646
"300",0.680136
"301",0.699418
"302",0.682051
"303",0.677629
"304",0.697126
"305",0.698663
"306",0.695532
"307",0.702085
"308",0.692468
"309",0.705155
"310",0.704186
"311",0.716021
"312",0.710777
"313",0.709729
"314",0.715949
"315",0.66691
"316",0.666585
"317",0.681563
"318",0.679489
"319",0.675352
"320",0.692285
"321",0.681713
"322",0.678208
"323",0.666345
"324",0.665982
"325",0.686247
"326",0.683665
"327",0.678507
"328",0.677065
"329",0.66483
"330",0.668458
"331",0.668629
"332",0.741255
"333",0.726433
"334",0.714152
"335",0.702995
"336",0.690145
"337",0.696805
"338",0.685121
"339",0.720236
"340",0.710604
"341",0.631601
"342",0.688508
"343",0.612743
"344",0.678534
"345",0.66025
"346",0.677057
"347",0.61978
"348",0.615006
"349",0.671171
"350",0.656855
"351",0.655173
"352",0.665901
"353",0.671626
"354",0.667312
"355",0.681908
"356",0.695228
"357",0.687094
"358",0.692942
"359",0.699032
"360",0.700381
"361",0.710166
"362",0.709403
"363",0.720985
"364",0.702604
"365",0.711943
"366",0.716185
"367",0.712267
"368",0.704383
"369",0.683524
"370",0.655909
"371",0.679907
"372",0.676926
"373",0.680009
"374",0.667866
"375",0.671023
"376",0.666934
"377",0.68836
"378",0.682484
"379",0.6793
"380",0.67932
"381",0.673695
"382",0.658849
"383",0.658864
"384",0.749738
"385",0.731141
"386",0.717034
"387",0.715458
"388",0.707965
"389",0.699074
"390",0.745574
"391",0.73099
"392",0.741187
"393",0.706935
"394",0.648313
"395",0.695704
"396",0.695806
"397",0.630134
"398",0.640509
"399",0.631965
"400",0.669393
"401",0.64675
"402",0.639547
"403",0.640352
"404",0.651614
"405",0.648708
"406",0.666222
"407",0.669372
"408",0.642501
"409",0.680075
"410",0.685947
"411",0.695998
"412",0.697992
"413",0.702323
"414",0.694597
"415",0.70185
"416",0.695256
"417",0.708847
"418",0.695413
"419",0.705923
"420",0.705526
"421",0.71421
"422",0.691446
"423",0.71139
"424",0.679017
"425",0.682606
"426",0.677516
"427",0.677399
"428",0.67724
"429",0.678611
"430",0.675639
"431",0.694974
"432",0.685353
"433",0.668245
"434",0.677326
"435",0.668025
"436",0.66595
"437",0.652975
"438",0.658167
"439",0.708112
"440",0.75838
"441",0.753827
"442",0.749551
"443",0.740542
"444",0.698708
"445",0.707363
"446",0.705566
"447",0.697179
"448",0.688893
"449",0.70324
"450",0.621275
"451",0.647031
"452",0.644004
"453",0.615849
"454",0.592701
"455",0.588392
"456",0.64089
"457",0.652156
"458",0.658378
"459",0.664952
"460",0.63876
"461",0.676301
"462",0.686597
"463",0.690337
"464",0.691881
"465",0.69645
"466",0.698551
"467",0.690532
"468",0.704508
"469",0.685592
"470",0.701905
"471",0.705006
"472",0.700078
"473",0.714383
"474",0.694407
"475",0.689825
"476",0.687854
"477",0.679026
"478",0.668637
"479",0.677098
"480",0.67923
"481",0.677266
"482",0.680254
"483",0.673218
"484",0.66627
"485",0.680219
"486",0.677533
"487",0.68471
"488",0.65261
"489",0.671226
"490",0.650788
"491",0.65081
"492",0.716264
"493",0.715197
"494",0.756371
"495",0.746851
"496",0.678608
"497",0.724307
"498",0.702291
"499",0.695072
"500",0.628789
"501",0.709269
"502",0.629455
"503",0.678085
"504",0.611319
"505",0.669747
"506",0.656863
"507",0.672056
"508",0.674049
"509",0.679333
"510",0.682089
"511",0.666895
"512",0.664424
"513",0.664091
"514",0.682316
"515",0.691351
"516",0.666749
"517",0.700486
"518",0.700592
"519",0.686288
"520",0.702876
"521",0.684593
"522",0.703767
"523",0.705377
"524",0.704175
"525",0.699248
"526",0.704588
"527",0.708905
"528",0.699326
"529",0.681785
"530",0.677919
"531",0.678156
"532",0.680939
"533",0.682311
"534",0.678913
"535",0.668354
"536",0.671153
"537",0.687552
"538",0.677959
"539",0.6729
"540",0.667235
"541",0.66231
"542",0.654368
"543",0.659007
"544",0.653463
"545",0.725441
"546",0.72425
"547",0.695833
"548",0.747541
"549",0.739863
"550",0.669861
"551",0.7135
"552",0.633968
"553",0.682819
"554",0.69911
"555",0.662401
"556",0.688836
"557",0.686757
"558",0.703471
"559",0.688387
"560",0.639475
"561",0.571861
"562",0.673191
"563",0.659942
"564",0.616024
"565",0.660238
"566",0.663548
"567",0.700307
"568",0.667462
"569",0.676861
"570",0.673494
"571",0.70059
"572",0.684842
"573",0.679884
"574",0.684307
"575",0.708585
"576",0.712666
"577",0.731435
"578",0.717239
"579",0.719808
"580",0.721733
"581",0.691865
"582",0.682112
"583",0.679536
"584",0.677988
"585",0.678985
"586",0.679348
"587",0.673315
"588",0.666805
"589",0.674238
"590",0.681134
"591",0.679491
"592",0.62638
"593",0.66683
"594",0.658361
"595",0.660789
"596",0.651469
"597",0.651919
"598",0.643357
"599",0.719631
"600",0.719264
"601",0.708974
"602",0.729484
"603",0.733856
