"","x"
"1",9798.75
"2",9922.68
"3",10050.79
"4",9931.15
"5",9878.55
"6",9750.96
"7",9710.36
"8",9632.94
"9",9719.42
"10",9733.87
"11",9818.57
"12",10134.87
"13",10185.85
"14",10206.42
"15",10095.21
"16",9909.71
"17",9681.47
"18",9639.19
"19",9705.13
"20",9449.76
"21",9552.75
"22",9594.23
"23",9627.31
"24",9694.45
"25",9733.46
"26",9928.35
"27",9814.58
"28",9791.17
"29",10040.14
"30",9875.48
"31",9797.13
"32",9579.81
"33",9629.87
"34",9507.08
"35",9512.64
"36",9264.35
"37",9396.29
"38",9352.34
"39",9237.48
"40",9384.51
"41",9651.52
"42",9809.65
"43",9698.41
"44",9204.4
"45",9174.61
"46",9208.9
"47",9642.23
"48",9482.39
"49",9889.8
"50",9778.43
"51",9613.25
"52",9462.03
"53",9550.04
"54",9472.92
"55",9752.15
"56",9683.85
"57",9738.59
"58",9725.92
"59",9545.46
"60",9309.54
"61",9324.26
"62",9258.05
"63",9305.37
"64",9228.24
"65",8832.13
"66",8969
"67",9094.19
"68",8859.24
"69",9045.03
"70",9609.59
"71",9097.13
"72",8897.62
"73",8983.07
"74",9054.96
"75",9360.57
"76",9342.5
"77",9521.73
"78",9640.5
"79",9791.88
"80",9917.79
"81",9131.28
"82",9732.07
"83",9764.85
"84",9464.45
"85",9225.96
"86",9034.39
"87",9036.08
"88",8946.23
"89",8830.79
"90",8540.41
"91",8683.85
"92",8805.07
"93",8842.34
"94",8890.37
"95",9011.23
"96",9565.5
"97",9567.24
"98",9517.37
"99",9117.11
"100",9225.93
"101",9354.91
"102",9198.22
"103",9151.67
"104",9378.53
"105",8865.06
"106",9521.4
"107",8998.76
"108",9364.38
"109",9455.59
"110",9536.2
"111",9495.61
"112",9341
"113",9464.92
"114",9243.54
"115",9294.44
"116",9537.84
"117",9687.98
"118",9622.81
"119",9795.08
"120",9325.69
"121",9840.65
"122",9973.19
"123",9576.95
"124",9505.8
"125",9001.34
"126",8830.26
"127",8886.65
"128",8775.53
"129",8737.07
