"plotid","error","value"
"1",0,2577.96345332095
"10",0,2546.00317919584
"100",0,2588.25283638278
"1000",0,2856.42782979981
"1001",0,2768.31786662604
"1002",0,2727.06198608133
"1003",0,2629.63734440031
"1004",0,2626.22593838845
"1005",0,2620.47302500314
"1006",0,2567.59468888278
"1007",0,2606.88164760642
"1008",0,2562.07875405497
"1009",0,2568.53263013616
"101",0,2571.6975222474
"1010",0,2351.12439566059
"1011",0,2026.11864478217
"1012",0,2107.81025496079
"1013",0,2339.67991098053
"1014",0,2727.44720962708
"1015",0,2751.6001146169
"1016",0,2725.3247002123
"1017",0,2694.19085143588
"1018",0,2714.03610909765
"1019",0,2719.02249359676
"102",0,2567.2260967567
"1020",0,2784.9389153192
"1021",0,2757.61838133898
"1022",0,2765.79577139057
"1023",0,2776.63854046779
"1024",0,2798.86305298851
"1025",0,2838.25631104502
"1026",0,2758.27710942075
"1027",0,2733.91618381113
"1028",0,2778.31022400708
"1029",0,2832.96123692367
"103",0,2536.51382217482
"1030",0,2860.50960608194
"1031",0,2864.78691733773
"1032",0,2864.39492126149
"1033",0,2899.6476520544
"1034",0,2879.96274448128
"1035",0,2789.29019157953
"1036",0,2612.31161284921
"1037",0,2583.21366775595
"1038",0,2606.30606400826
"1039",0,2611.0454171341
"104",0,2554.06443498652
"1040",0,2590.86061291898
"1041",0,2495.20131490611
"1042",0,2559.54546860058
"1043",0,2345.20726244903
"1044",0,2709.63038076392
"1045",0,2797.53933893269
"1046",0,2765.45009962913
"1047",0,2751.10952828043
"1048",0,2499.0640636534
"1049",0,2705.02801252914
"105",0,2348.12817742868
"1050",0,2735.00234077669
"1051",0,2730.47569832912
"1052",0,2772.31491215692
"1053",0,2788.06432221322
"1054",0,2797.99627589785
"1055",0,2796.1437613877
"1056",0,2790.96196374794
"1057",0,2729.68036090637
"1058",0,2772.10625413705
"1059",0,2827.56703437124
"106",0,2511.22530121214
"1060",0,2844.27034854637
"1061",0,2848.34248200847
"1062",0,2743.13543452359
"1063",0,2529.7676436647
"1064",0,2514.34279878496
"1065",0,2717.17921248829
"1066",0,2634.19623683695
"1067",0,2630.07553148622
