"plotid","error","value"
"1",0,6135.89380898569
"10",0,6097.11330979206
"100",0,6466.03824833028
"1000",0,7397.01957592995
"1001",0,6596.45120431706
"1002",0,6823.89618045914
"1003",0,6558.84138255604
"1004",0,6353.77446103357
"1005",0,6546.6270809577
"1006",0,6427.74743537429
"1007",0,6542.29914002969
"1008",0,6682.21036665004
"1009",0,6447.32085912785
"101",0,6665.81987630792
"1010",0,6244.8675813487
"1011",0,5297.67305156573
"1012",0,5382.49239231026
"1013",0,6240.07040237173
"1014",0,6993.52487380588
"1015",0,6946.20135284628
"1016",0,6847.36352264829
"1017",0,6779.08273364289
"1018",0,6762.59521792846
"1019",0,6718.51697831184
"102",0,6394.90246340737
"1020",0,6836.45322902947
"1021",0,6629.49127498909
"1022",0,6647.28514824332
"1023",0,6690.9127323092
"1024",0,6752.98265765386
"1025",0,6915.06139376676
"1026",0,6796.06609717645
"1027",0,6779.52078894796
"1028",0,6836.67890617195
"1029",0,6911.48321690013
"103",0,6443.49553085764
"1030",0,7003.41311021379
"1031",0,7100.12025834662
"1032",0,7274.14076571875
"1033",0,7558.04084540976
"1034",0,7479.84271953194
"1035",0,6890.02283018257
"1036",0,6624.47665578212
"1037",0,6444.74325110491
"1038",0,6465.15802670358
"1039",0,6447.9092870321
"104",0,6226.69074084221
"1040",0,6567.77589692578
"1041",0,6288.91835944093
"1042",0,6483.61783616654
"1043",0,6256.70393048888
"1044",0,6935.1165328928
"1045",0,6986.63723390471
"1046",0,6918.23818028661
"1047",0,6890.24907394181
"1048",0,6210.65182740385
"1049",0,6627.58098004806
"105",0,6014.16524810715
"1050",0,6657.24489499011
"1051",0,6623.649202151
"1052",0,6813.49577498408
"1053",0,6919.79299739476
"1054",0,6950.38120140633
"1055",0,6867.2453935668
"1056",0,6906.89120139468
"1057",0,6860.78143641265
"1058",0,6991.50042943208
"1059",0,6966.89434198879
"106",0,5979.97691718935
"1060",0,6922.41078855707
"1061",0,7009.44326414697
"1062",0,6910.76977958878
"1063",0,6346.68433915606
"1064",0,6447.85110820326
"1065",0,6874.39428629402
"1066",0,6511.2792857623
"1067",0,6449.51600198611
"1068",0,6816.02979341104
"1069",0,6743.41216905164
"107",0,5674.69452088985
"1070",0,6554.14908022782
"1071",0,6201.54231613777
"1072",0,5983.43202101254
"1073",0,6721.14623183296
"1074",0,6897.19349331698
"1075",0,6907.57863907461
"1076",0,7115.43609040532
"1077",0,7100.84549129782
"1078",0,7034.60973573071
"1079",0,6967.43830305044
"108",0,5710.59505779589
"1080",0,6856.79591450872
"1081",0,6900.11665387752
"1082",0,6575.28026321532
"1083",0,6500.1557498775
"1084",0,6697.03508568069
"1085",0,6352.23465020358
"1086",0,6214.21080253165
"1087",0,6177.92581503439
"1088",0,6507.34585618606
"1089",0,6622.94258073456
"109",0,5754.3950905529
"1090",0,5889.79732210941
"1091",0,5802.22482897994
"1092",0,5646.04976770962
"1093",0,6852.10147160658
"1094",0,6934.707638643
"1095",0,5920.11970783315
"1096",0,5802.5115169963
"1097",0,6130.78555712748
"1098",0,6147.89529516056
"1099",0,6191.17427221908
"11",0,5957.7138293162
"110",0,5699.6955907941
"1100",0,6527.07438103145
"1101",0,5928.56226354097
"1102",0,5851.15530668866
"1103",0,5759.19318921646
"1104",0,6781.82898210901
"111",0,5724.47652746702
"112",0,5756.11264215133
"113",0,5949.39462192231
"114",0,6003.97271118856
"115",0,6030.91879386505
"116",0,6186.18226442559
"117",0,7733.60922489792
"118",0,7588.62764764297
"119",0,7423.37837699104
"12",0,5824.37818204668
"120",0,7194.77584899929
"121",0,7692.54760714863
"122",0,7795.08540697101
"123",0,7502.66371276627
"124",0,7766.94835143363
"125",0,7620.15829334675
"126",0,7535.42927978404
"127",0,7497.05612306558
"128",0,7588.06385298542
"129",0,7155.47991753689
"13",0,5787.4491824284
"130",0,7111.65594320299
"131",0,7212.19757178738
"132",0,7272.66979794042
"133",0,7199.82577983185
"134",0,7289.56947924727
"135",0,7641.94876884212
"136",0,7857.06933816187
"137",0,7734.05102982239
"138",0,7384.13187973707
"139",0,6334.83319728592
"14",0,5899.80175931736
"140",0,6676.6767112453
"141",0,6385.99146422513
