"plotid","error","value"
"1",0,3545.58036607862
"10",0,3287.08957225409
"100",0,2978.24920893422
"1000",0,4079.77878930156
"1001",0,3497.15295267134
"1002",0,3742.77439244906
"1003",0,3563.88857961077
"1004",0,3235.12322161359
"1005",0,3191.80983963719
"1006",0,3004.38056385978
"1007",0,3072.30702526955
"1008",0,3313.73324828568
"1009",0,3882.20208703722
"101",0,3342.63336805512
"1010",0,4008.18686134053
"1011",0,3589.7822241905
"1012",0,3729.21834116995
"1013",0,3694.60113349047
"1014",0,3937.70744360304
"1015",0,4108.51680874779
"1016",0,4397.09149569672
"1017",0,4289.11678729144
"1018",0,4203.92822031639
"1019",0,4077.41830269996
"102",0,2905.78383523055
"1020",0,3940.34248700516
"1021",0,2958.3772894013
"1022",0,2793.29607890841
"1023",0,2799.40324380942
"1024",0,2863.0941484439
"1025",0,2868.0095757666
"1026",0,2619.74644604852
"1027",0,2636.94597886721
"1028",0,2264.79616642479
"1029",0,2808.83011484167
"103",0,2791.69729782772
"1030",0,3571.38123021483
"1031",0,3724.28232511113
"1032",0,3588.91504200642
"1033",0,3969.57532846499
"1034",0,4235.11493229484
"1035",0,3426.71236203393
"1036",0,3434.90434733236
"1037",0,3105.52816786506
"1038",0,3328.9162753224
"1039",0,3660.88909332529
"104",0,3342.65918381007
"1040",0,4073.0827415369
"1041",0,4122.8681357263
"1042",0,3882.35927546195
"1043",0,3929.09585774394
"1044",0,4066.80528844738
"1045",0,4214.17208047335
"1046",0,4288.37559845624
"1047",0,4445.2074352376
"1048",0,4185.85320695206
"1049",0,4277.83610598825
"105",0,3424.39993754978
"1050",0,4009.69895072539
"1051",0,3386.37093600405
"1052",0,3988.50722142836
"1053",0,4162.9521200762
"1054",0,4042.28789663871
"1055",0,3974.22779632197
"1056",0,3511.91372850941
"1057",0,2749.07772850555
"1058",0,2662.61133201334
"1059",0,3375.44183917862
"106",0,3522.29812150902
"1060",0,3578.54302980703
"1061",0,3748.61526025601
"1062",0,4340.46930620365
"1063",0,4053.80701678939
"1064",0,4026.93860411263
"1065",0,4039.01102083919
"1066",0,4169.52285845312
"1067",0,4265.44862043219
"1068",0,4330.31886736572
"1069",0,4249.31598326479
"107",0,3570.23795323523
"1070",0,4048.99143437541
"1071",0,4154.35393787852
"1072",0,3988.90605007749
"1073",0,4243.4517776696
"1074",0,4226.39756321917
"1075",0,4172.71616932425
"1076",0,4247.215093333
"1077",0,4307.02006603049
"1078",0,4075.11138027817
"1079",0,3902.06924510685
"108",0,3575.28493083302
"1080",0,2951.45667299092
"1081",0,3938.89533604717
"1082",0,4659.40434428039
"1083",0,4400.30651129561
"1084",0,4300.10699807178
"1085",0,4406.86922812396
"1086",0,4367.42627782981
"1087",0,4308.25203302083
"1088",0,3895.89017576545
"1089",0,3889.23930118605
"109",0,3458.71915795722
"1090",0,3904.94083768379
"1091",0,3783.11350801114
"1092",0,3845.36306452574
"1093",0,4158.86693497197
"1094",0,3419.44502845706
"1095",0,4238.39210903664
"1096",0,3997.01311104349
"1097",0,4208.41104954232
"1098",0,4292.23205362663
"1099",0,4246.00132535134
"11",0,3237.80241968945
"110",0,3600.09129125582
"1100",0,3778.13949251331
"1101",0,3943.04854323705
"1102",0,3928.44462720712
"1103",0,3993.75863078633
"1104",0,4143.44361865198
"111",0,3423.81910042029
"112",0,3147.65200395157
"113",0,3088.98471723169
"114",0,3364.41139119772
"115",0,3491.85035586623
"116",0,3333.7387618675
"117",0,2715.03397293908
"118",0,2126.1031273458
"119",0,2215.85915074835
"12",0,3397.15778009777
"120",0,2435.67299023114
"121",0,2342.14013148862
"122",0,2387.79859480205
"123",0,1928.69698391752
"124",0,1947.0144806662
"125",0,1879.08264660789
"126",0,1838.72653330193
"127",0,1993.24880675835
"128",0,2258.78586967334
"129",0,3210.64074115525
"13",0,3401.64235308004
"130",0,3463.31836603008
"131",0,3507.8390574933
"132",0,3422.58011245311
"133",0,3451.42187070833
"134",0,3536.48807874789
"135",0,3554.43087459707
"136",0,3621.94619090772
"137",0,3627.47858608715
"138",0,3423.57433568694
"139",0,3475.15324531632
"14",0,3359.15571557102
"140",0,3144.9029697512
"141",0,3041.07791610721
"142",0,2992.31457579294
"143",0,2754.95879211094
"144",0,2932.665795843
"145",0,3415.22840725054
"146",0,2814.33857023955
"147",0,2731.20918677079
"148",0,3115.65774810395
"149",0,3535.75054883011
"15",0,3414.43048316814
"150",0,3396.69122471691
"151",0,3517.87567460074
"152",0,3698.33523636059
"153",0,3587.41262623177
"154",0,3646.47498039556
"155",0,3474.84282678439
"156",0,3296.25879531518
"157",0,3161.45367933849
"158",0,2991.85764998744
"159",0,3248.50852757355
"16",0,3485.99387061332
"160",0,3306.08707802979
"161",0,3174.39050493892
"162",0,2722.48633881796
"163",0,2181.18512833135
"164",0,2041.39369630491
"165",0,2012.21223334968
"166",0,2083.09143344418
"167",0,1973.84771246403
"168",0,1954.2767932066
"169",0,1971.34464150945
"17",0,3554.51977982173
"170",0,1942.28686662303
"171",0,1990.86835007288
"172",0,2064.35320064111
"173",0,3310.62699904394
"174",0,3433.37230295183
"175",0,3518.18696518872
"176",0,3629.56589939903
"177",0,3601.91284858475
"178",0,3670.56174874047
"179",0,3635.74484571485
"18",0,3493.64649867348
"180",0,3668.83622724527
"181",0,3622.74980518696
"182",0,3556.78386324964
"183",0,3359.56586888876
"184",0,4242.7785712307
"185",0,3906.33031652511
"186",0,3617.21506637029
"187",0,3196.72414258704
"188",0,3070.25590977515
"189",0,2983.86166456188
"19",0,3084.62373369419
"190",0,2895.41827894747
"191",0,3180.43130538029
"192",0,3264.85219938399
"193",0,2704.55102987998
"194",0,2681.330599015
"195",0,3237.44293863277
"196",0,3442.34940119538
"197",0,3535.70239149702
"198",0,3638.2390467938
"199",0,3602.42377108806
"2",0,3588.27237855514
"20",0,2778.32566190766
"200",0,3590.41007564468
"201",0,3461.53450069344
"202",0,3182.5363792142
"203",0,3207.25024853703
"204",0,3071.54345981402
"205",0,2458.84637235972
"206",0,2621.86555015449
"207",0,2717.05646232619
"208",0,2805.67773862021
"209",0,2762.1472487621
"21",0,2888.6496032595
"210",0,2177.19234982918
"211",0,1945.14475347655
"212",0,1968.93097192183
"213",0,2169.99898842508
"214",0,2103.69288384012
"215",0,2102.29084874823
"216",0,2061.81591126046
"217",0,1925.6320014714
"218",0,1986.53514732239
"219",0,2392.80418976176
"22",0,2946.49331884557
"220",0,3128.77243744542
"221",0,3313.50048943542
"222",0,3504.9308244699
"223",0,3397.63492599767
"224",0,3535.54005337578
"225",0,3595.95222621394
"226",0,3659.42614211653
"227",0,3597.51973909776
"228",0,3416.43058276728
"229",0,3086.65072336568
"23",0,3369.41545272239
"230",0,3490.466524578
"231",0,4420.75249216018
"232",0,4246.74209953436
"233",0,3983.35961575001
"234",0,3803.10870839729
"235",0,3228.80651312319
"236",0,3137.84988769986
"237",0,2984.5559530576
"238",0,2808.19652764223
"239",0,3083.92390403695
"24",0,3417.29928359115
"240",0,3346.26424368948
"241",0,2736.71179923033
"242",0,2538.12442057793
"243",0,3217.38378849728
"244",0,3264.88040886681
"245",0,3383.21113472088
"246",0,3513.25976189842
"247",0,3499.62819536627
"248",0,3318.22480302747
"249",0,3170.08934943945
"25",0,3464.41906654011
"250",0,2922.78722140962
"251",0,2757.8816777263
"252",0,2612.32756131616
"253",0,2516.25972011359
"254",0,2430.19286134811
"255",0,2434.58344627609
"256",0,2491.07650329666
"257",0,2610.47059625448
"258",0,2323.2135142917
"259",0,2146.32045901569
"26",0,3555.48545550083
"260",0,1984.20149530512
"261",0,2007.05147955773
"262",0,2009.86947202251
"263",0,1978.34645675144
"264",0,2069.43684309367
"265",0,2287.13985283884
"266",0,2359.88994477036
"267",0,2370.49829936478
"268",0,3219.72811637069
"269",0,3472.78062673306
"27",0,3565.60902607889
"270",0,3447.79097914863
"271",0,3556.77176422646
"272",0,3458.85148216843
"273",0,3572.82596441284
"274",0,3476.85086585223
"275",0,3552.4213551188
"276",0,3507.84709868222
"277",0,3643.64299390294
"278",0,3596.87272973708
"279",0,3897.27192027037
"28",0,3597.91044563879
"280",0,4413.73399700508
"281",0,4261.61736345436
"282",0,4140.66247849657
"283",0,4130.76883681067
"284",0,3901.59284031779
"285",0,3508.81303892746
"286",0,3172.55280852356
"287",0,3047.42449859936
"288",0,3064.81410036307
"289",0,2939.03834004568
"29",0,3543.08088823171
"290",0,3320.62592657437
"291",0,3367.20463331773
"292",0,2726.35695261255
"293",0,2891.72826409876
"294",0,2951.60122582056
"295",0,3275.58238468023
"296",0,3473.35234528603
"297",0,3398.58961552582
"298",0,3362.35137080712
"299",0,3291.40568019406
"3",0,3332.34746298963
"30",0,3573.94007955081
"300",0,3100.02659041347
"301",0,2820.40856326389
"302",0,2591.11665107604
"303",0,2249.69162219516
"304",0,2539.59901733901
"305",0,2636.25702918687
"306",0,2400.78918992055
"307",0,2507.8636016235
