"plotid","error","value"
"1",0,9564.79133319226
"10",0,9113.77894297944
"100",0,7956.98622073424
"1000",0,9179.21742736602
"1001",0,8408.31258461932
"1002",0,8880.24671338066
"1003",0,8313.56331066613
"1004",0,7350.52911553499
"1005",0,7570.78706388342
"1006",0,6822.13518061547
"1007",0,7033.18544139886
"1008",0,7697.50370297158
"1009",0,8280.59446515116
"101",0,8849.80157616183
"1010",0,8197.69077492271
"1011",0,6682.59723383196
"1012",0,6373.97338810832
"1013",0,7746.4396763378
"1014",0,8699.00314107813
"1015",0,8933.8481981757
"1016",0,9369.88642796355
"1017",0,9402.07751215711
"1018",0,9434.49882502904
"1019",0,9306.30028418513
"102",0,7608.64975772771
"1020",0,9360.61677941868
"1021",0,7939.62706313478
"1022",0,7274.04325992839
"1023",0,7506.11104644895
"1024",0,7676.22039789851
"1025",0,7650.17901176003
"1026",0,6960.57456218217
"1027",0,7066.23322526226
"1028",0,5462.58253869303
"1029",0,7463.22738522321
"103",0,7647.15666358537
"1030",0,9106.08248587231
"1031",0,9163.48426814954
"1032",0,8942.92186445093
"1033",0,9270.17585362672
"1034",0,9321.10564184634
"1035",0,8452.39613386833
"1036",0,8104.56761167614
"1037",0,7142.28279912353
"1038",0,7959.3599478241
"1039",0,8336.82227080056
"104",0,8920.97481940453
"1040",0,8591.47816297677
"1041",0,8542.30157362824
"1042",0,8455.12717891029
"1043",0,8325.33010679776
"1044",0,8866.17357490321
"1045",0,8970.87682158163
"1046",0,9209.47933910973
"1047",0,9446.45626996637
"1048",0,9042.22577617208
"1049",0,9443.8794109692
"105",0,8444.79410901373
"1050",0,9236.35432553005
"1051",0,8540.92427751324
"1052",0,9225.09620876639
"1053",0,9407.59256656886
"1054",0,9415.486993168
"1055",0,9419.46646767947
"1056",0,8958.82440323397
"1057",0,7311.98927526964
"1058",0,7190.29937716111
"1059",0,8973.55057562684
"106",0,9188.15998094403
"1060",0,9157.19767301264
"1061",0,9159.13467275663
"1062",0,8928.8153319274
"1063",0,8415.69896067562
"1064",0,8831.89111022759
"1065",0,8967.98444420415
"1066",0,8907.41743743763
"1067",0,8972.45622139135
"1068",0,9272.39708520229
"1069",0,9200.90787153481
"107",0,8656.32881238804
"1070",0,9270.08920555269
"1071",0,8472.46960319806
"1072",0,7405.37486466406
"1073",0,9493.76064542385
"1074",0,9447.82049232937
"1075",0,9254.88746857286
"1076",0,9370.64576767059
"1077",0,9478.45892482252
"1078",0,9390.2093817941
"1079",0,9356.66501412564
"108",0,9330.43082728381
"1080",0,7809.60649265839
"1081",0,9405.50145921818
"1082",0,8964.62399454406
"1083",0,8921.90393564141
"1084",0,9071.42307480315
"1085",0,9014.42851276432
"1086",0,8944.97817102874
"1087",0,8939.31120272672
"1088",0,8873.31260397041
"1089",0,8948.5867616256
"109",0,9195.80628433846
"1090",0,7966.34568506343
"1091",0,7684.50094646256
"1092",0,4754.36915545049
"1093",0,9372.02666187696
"1094",0,8718.8155086794
"1095",0,7977.34846425192
"1096",0,6576.7551217265
"1097",0,8557.03515158655
"1098",0,8700.68040665786
"1099",0,8608.04108405164
"11",0,9096.98200866588
"110",0,9344.6708385056
"1100",0,8639.98281580185
"1101",0,7809.77435479974
"1102",0,7263.61721320681
"1103",0,5160.4684319747
"1104",0,9357.15814914905
"111",0,9150.27217224705
"112",0,8805.00836710928
"113",0,8415.06258992937
"114",0,8393.21194343861
"115",0,8256.69433914336
"116",0,8244.54088826291
"117",0,7119.1422807908
"118",0,5124.217297122
"119",0,5743.66628371139
"12",0,9360.42692292415
"120",0,5029.0292485681
"121",0,6257.88091044593
"122",0,6357.10979266479
"123",0,3208.37139783263
"124",0,3354.69873831278
"125",0,3192.17636107443
"126",0,3197.98744502074
"127",0,3828.46357958812
"128",0,6523.80252892439
"129",0,8629.87412151009
"13",0,9434.02681573537
"130",0,8882.03789617242
"131",0,8972.10988153418
"132",0,9053.02803603142
"133",0,9203.38989430953
"134",0,9240.24072595755
"135",0,9188.66113156851
