"plotid","error","value"
"1",0,1499.77883851819
"10",0,1257.84343792372
"100",0,1037.69233831063
"1000",0,1863.96081518907
"1001",0,1093.48645431189
"1002",0,-176.363300829888
"1003",0,14.1554998293796
"1004",0,-157.762617664936
"1005",0,-2216.5713190273
"1006",0,-372.138095428008
"1007",0,-129.019888552142
"1008",0,-571.134744976407
"1009",0,-13.7390090554618
"101",0,1196.20896866392
"1010",0,-1175.6876882743
"1011",0,-5581.04621621988
"1012",0,-33.4300268215884
"1013",0,483.438265600291
"1014",0,1981.28174989208
"1015",0,1557.75815457861
"1016",0,1160.04814660847
"1017",0,1196.95585941036
"1018",0,1238.82116606453
"1019",0,1162.5239942476
"102",0,1229.16758336204
"1020",0,1201.8665035587
"1021",0,1432.6236370701
"1022",0,1535.18192052242
"1023",0,1548.54138113946
"1024",0,1326.5795879267
"1025",0,964.547759782407
"1026",0,1039.77355624792
"1027",0,1277.14585838018
"1028",0,1432.74274470367
"1029",0,1262.25479030479
"103",0,1007.65124678259
"1030",0,1223.8486156858
"1031",0,1478.6333104283
"1032",0,1609.65169361941
"1033",0,1901.1959247453
"1034",0,1972.4398909506
"1035",0,339.681613440369
"1036",0,-666.076917602292
"1037",0,-259.576994683408
"1038",0,292.847646214986
"1039",0,709.392907224996
"104",0,1203.88454226156
"1040",0,1471.12794531467
"1041",0,-616.401834363711
"1042",0,1367.49985476006
"1043",0,1084.28143568166
"1044",0,1658.24112093456
"1045",0,1695.36185890367
"1046",0,986.204177438336
"1047",0,1222.58789176843
"1048",0,1672.00574656896
"1049",0,78.4836757013272
"105",0,1181.92545577936
"1050",0,1426.25746754528
"1051",0,1476.86798645782
"1052",0,995.101701472424
"1053",0,1185.14106223193
"1054",0,1001.33274415802
"1055",0,1124.69213582805
"1056",0,1213.14612551196
"1057",0,1169.73307424388
"1058",0,1043.03178815861
"1059",0,1222.35032205015
"106",0,1512.52180187998
"1060",0,1309.92499465551
"1061",0,1589.73747169673
"1062",0,755.245678360989
"1063",0,-599.184280010053
"1064",0,-215.40313482244
"1065",0,1406.69830791956
"1066",0,1322.03573951879
"1067",0,1742.20915636754
"1068",0,765.551613151725
"1069",0,1205.66525576423
"107",0,1286.54912411055
"1070",0,1442.06652220153
"1071",0,-716.591266706544
"1072",0,383.945144971432
"1073",0,680.457708486685
"1074",0,595.763587501484
"1075",0,611.635412712942
"1076",0,204.812495892267
"1077",0,425.914012382955
"1078",0,957.760138903634
"1079",0,1055.62253333535
"108",0,1548.65114002696
"1080",0,1668.84495768548
"1081",0,1233.82040680847
"1082",0,535.12984861929
"1083",0,218.942463428897
"1084",0,960.144249376341
"1085",0,861.306750705609
"1086",0,364.995441268191
"1087",0,1578.79289631235
"1088",0,1388.99309088654
"1089",0,1504.16989380093
"109",0,1571.20284415312
"1090",0,-2527.69889050319
"1091",0,-1679.03664867635
"1092",0,-1601.86758006505
"1093",0,1398.32037160719
"1094",0,1348.62713264797
"1095",0,-566.856821471507
"1096",0,1349.62360789803
"1097",0,2038.2005399511
"1098",0,1634.2607885182
"1099",0,1499.77633799692
"11",0,1536.98331789479
"110",0,1728.60671052727
