"plotid","error","value"
"1",0,10853.0227343007
"10",0,10214.1158247659
"100",0,8902.02308038675
"1000",0,11095.7551216129
"1001",0,9480.98665503816
"1002",0,8659.17616336429
"1003",0,8413.68300421159
"1004",0,7445.39287921165
"1005",0,5435.0532856195
"1006",0,6704.12260052901
"1007",0,7138.92774460746
"1008",0,7365.31842326952
"1009",0,8633.71216104042
"101",0,9808.16474655968
"1010",0,7234.74446608676
"1011",0,1222.39546633953
"1012",0,7446.30032224714
"1013",0,8538.56123005878
"1014",0,10626.6033183953
"1015",0,10491.9403130023
"1016",0,10451.1731550702
"1017",0,10453.5696812754
"1018",0,10620.860481677
"1019",0,10453.3954896376
"102",0,8840.46645442497
"1020",0,10411.0913355003
"1021",0,9309.88405814871
"1022",0,8848.78598516344
"1023",0,9035.76838500302
"1024",0,9030.16770277239
"1025",0,8629.29851379269
"1026",0,8050.48922117882
"1027",0,8386.92235801743
"1028",0,7198.67805110675
"1029",0,8733.84682069873
"103",0,8617.49708917079
"1030",0,10200.2560855029
"1031",0,10516.0989901347
"1032",0,10397.7680558374
"1033",0,10979.0475867036
"1034",0,11298.7069527634
"1035",0,8828.21140835336
"1036",0,7507.49560061279
"1037",0,7121.85382129062
"1038",0,8345.07198322995
"1039",0,9154.70352281982
"104",0,9938.36604728744
"1040",0,10166.1210929283
"1041",0,8143.93299677784
"1042",0,9921.69046920796
"1043",0,9647.05686410625
"1044",0,10536.2631437561
"1045",0,10540.6697615427
"1046",0,10228.021486677
"1047",0,10471.2379661314
"1048",0,10755.5841549301
"1049",0,9409.0454298819
"105",0,9680.18071869713
"1050",0,10640.9485057389
"1051",0,9976.35905879131
"1052",0,10179.0656838578
"1053",0,10493.9920881402
"1054",0,10339.103673232
"1055",0,10404.8370638363
"1056",0,10008.6257812698
"1057",0,8506.73410522843
"1058",0,8271.79943769231
"1059",0,9996.76118935553
"106",0,10381.130531802
"1060",0,10318.6167533521
"1061",0,10632.3625962766
"1062",0,9546.51785145446
"1063",0,7954.13879092204
"1064",0,8703.57086292914
"1065",0,10291.0807797436
"1066",0,10319.148885848
"1067",0,10772.9256835744
"1068",0,9944.03024487559
"1069",0,10463.2748864582
"107",0,10040.7386834492
"1070",0,10574.9154872507
"1071",0,7867.85889016842
"1072",0,8553.53495638829
"1073",0,10016.4628653888
"1074",0,9904.38743445856
"1075",0,9818.81822819588
"1076",0,9485.8701092776
"1077",0,9838.46544314094
"1078",0,10239.3981455947
"1079",0,10292.6728256364
"108",0,10529.7055746854
"1080",0,9497.64463718963
"1081",0,10571.4002045055
"1082",0,9593.30035282294
"1083",0,9259.1688859799
"1084",0,10038.2778676943
"1085",0,10006.0367270859
"1086",0,9431.46534051589
"1087",0,10643.535117227
"1088",0,10233.8929577418
"1089",0,10424.2631674309
"109",0,10379.5344302008
"1090",0,5752.16861634586
"1091",0,6228.51978941734
"1092",0,4149.69076687847
"1093",0,10628.1427713347
"1094",0,9975.81090241393
"1095",0,7760.35564156277
"1096",0,8944.86088054967
"1097",0,10751.4909179221
"1098",0,10569.3862893781
"1099",0,10248.2710598707
"11",0,10405.0088159329
"110",0,10700.8999413408
"1100",0,10270.6495469768
"1101",0,10209.9873583774
"1102",0,6787.55174809119
"1103",0,6481.07805185971
"1104",0,9153.29110855202
"111",0,10870.2533624629
"112",0,10817.4529496224
"113",0,10326.4263296571
"114",0,10782.8298787938
"115",0,10478.0169729441
"116",0,10607.0294318468
"117",0,9996.05110114225
"118",0,7080.67887997649
"119",0,7945.25164433218
"12",0,10614.7870153004
"120",0,7518.54973758287
"121",0,8400.45148830497
"122",0,8338.11444456293
"123",0,5107.9487997528
"124",0,5230.479623856
"125",0,4850.98305024026
"126",0,4710.74563557193
"127",0,5134.15957807755
"128",0,7690.76230920673
"129",0,10244.037427264
"13",0,10623.3216628236
"130",0,10349.3484222523
"131",0,10041.4090506343
"132",0,10566.0265648119
"133",0,10640.1746631124
"134",0,10695.5063297667
"135",0,10680.7864533009
"136",0,10741.9042213694
"137",0,10853.0530150551
"138",0,10623.4839594074
"139",0,10140.7438041239
"14",0,10690.4851733656
"140",0,9679.17237894765
"141",0,9385.63713434846
"142",0,8256.58497737892
"143",0,8258.62042572311
"144",0,9076.57324279371
"145",0,10028.7650062572
"146",0,8610.38235482405
"147",0,8263.87077711612
"148",0,9818.67455319163
"149",0,10403.0399536532
"15",0,10733.6827974593
"150",0,10238.8105073773
"151",0,10446.7526990537
"152",0,10392.8009999968
"153",0,10799.0212103533
"154",0,10012.9730995319
"155",0,9824.79642446426
"156",0,10470.5628177238
"157",0,10459.1083568229
"158",0,10092.895724494
"159",0,10365.5962158701
"16",0,10877.6546674299
"160",0,10466.4057332008
"161",0,10378.7159712195
"162",0,9900.25297640539
"163",0,7994.90865396262
"164",0,5922.15628442549
"165",0,5705.77902359193
"166",0,6065.8155324842
"167",0,5374.68876160282
"168",0,5365.87478778152
"169",0,5473.58299850272
"17",0,11026.419369199
"170",0,5338.11477581278
"171",0,5378.69944008582
"172",0,6017.57490100537
"173",0,9984.90227862829
"174",0,10176.3398860924
"175",0,10387.5991004116
"176",0,10446.5616112824
"177",0,10544.5811581772
"178",0,10548.6003555113
"179",0,10628.4722131287
"18",0,10967.270324832
"180",0,10566.5069747805
"181",0,10550.5709187878
"182",0,10597.3068513202
"183",0,10451.5024071622
"184",0,10811.6592948806
"185",0,9797.32892180482
"186",0,9231.89253978191
"187",0,8831.64093189523
"188",0,9095.42961307125
"189",0,9064.36721407057
"19",0,9404.76155690455
"190",0,8922.91951999157
"191",0,10084.5424048188
"192",0,10067.5713360399
"193",0,8465.58411074502
"194",0,8344.81125284116
"195",0,9831.19496605851
"196",0,10074.6480294311
"197",0,10069.1247548088
"198",0,10072.0465571489
"199",0,10130.1881899183
"2",0,10917.0611884399
"20",0,8366.6798824019
"200",0,10064.9378420196
"201",0,10214.1199686235
"202",0,9550.85872325805
"203",0,10074.1293618804
"204",0,10151.7940773378
"205",0,9410.31562917815
"206",0,9617.34414916383
"207",0,9808.60540377793
"208",0,9681.88363818172
"209",0,9542.42010729631
"21",0,8792.31799252855
"210",0,8085.56841970445
"211",0,5782.99510312112
"212",0,5452.91867333924
"213",0,6426.06793102449
"214",0,6262.62547937761
"215",0,6346.9115855241
"216",0,3002.01366934791
"217",0,5093.0962028229
"218",0,5656.43921877301
"219",0,8622.35598162145
"22",0,9648.7404634554
"220",0,9950.20234075949
"221",0,10135.9970534059
"222",0,10306.1586872902
"223",0,10237.184986009
"224",0,10548.3221210644
"225",0,10421.6975559859
"226",0,10395.8338150502
"227",0,10378.7145879423
"228",0,10295.7657166027
"229",0,9969.38748970221
"23",0,10399.6090831327
"230",0,10488.9409504214
"231",0,10862.4918713047
"232",0,11113.4650417787
"233",0,10291.1650950595
"234",0,9626.72363650612
"235",0,8729.45231059323
"236",0,9060.75269991877
"237",0,8868.06416564438
"238",0,8774.20879874973
"239",0,9621.57196182132
"24",0,10520.2616627327
"240",0,9747.36409335675
"241",0,8657.9831724844
"242",0,7844.30489155679
"243",0,9396.14374409297
"244",0,9835.92392031482
"245",0,9285.78817398721
"246",0,10147.4825387974
"247",0,9996.93586009087
"248",0,10282.3865845215
"249",0,9835.6654955743
"25",0,10750.2358502916
"250",0,9925.09552697512
"251",0,9545.70216335978
"252",0,9683.31981802406
"253",0,9075.08945612784
"254",0,8739.72640419803
"255",0,9168.67148881255
"256",0,9130.55695870832
"257",0,9384.13194639927
"258",0,8094.48825183893
"259",0,7641.77719318255
"26",0,11017.4322498146
"260",0,5819.30863601085
"261",0,6013.10047974699
"262",0,5934.12612850903
"263",0,5817.57551930643
"264",0,6204.49795302046
"265",0,7685.38599241242
"266",0,8052.92600086439
"267",0,8130.05836510021
"268",0,9851.1380644371
"269",0,10082.7271809184
"27",0,11158.2152374949
"270",0,10198.9553415953
"271",0,10216.3463827542
"272",0,10283.8888567676
"273",0,10348.7377086761
"274",0,10208.6346240626
"275",0,10380.9783973561
"276",0,10288.0804199122
"277",0,10390.0704249138
"278",0,10271.6001261736
"279",0,10726.8523299076
"28",0,10881.4084951322
"280",0,11054.2105525641
"281",0,11165.7866176085
"282",0,10498.2101877193
"283",0,10900.5295944303
"284",0,9932.31406816574
"285",0,10323.4605526758
"286",0,9674.73370121719
"287",0,9041.10101592327
"288",0,9420.70683914349
"289",0,9504.16421005354
"29",0,11062.367542133
"290",0,10198.1810179378
"291",0,10268.4907073264
"292",0,9058.93521367627
"293",0,7466.71663646676
"294",0,9110.38191596113
"295",0,9890.999233758
"296",0,9813.82368987483
"297",0,9775.82002210969
"298",0,10176.5184225315
"299",0,10286.8805443868
"3",0,10932.6485068173
"30",0,10549.8755658262
"300",0,10272.1663389644
"301",0,9487.2209183681
"302",0,9364.05154409589
"303",0,8654.54079841514
