"","x"
"1",7394.359
"2",7337.43333333333
"3",7291.99233333333
"4",7134.40633333333
"5",7110.98933333333
"6",7074.99333333333
"7",7121.604
"8",7446.93866666667
"9",7363.357
"10",7267.82166666667
"11",7187.36966666667
"12",7176.99633333333
"13",7214.33533333333
"14",7215.99666666667
"15",7184.99566666667
"16",7124.64066666667
"17",7069.17766666667
"18",7038.42
"19",7579.90133333333
"20",7459.355
"21",7458.371
"22",7371.38133333333
"23",7297.02133333333
"24",7200.86933333333
"25",7177.09166666667
"26",7221.175
"27",7226.04766666667
"28",7201.868
"29",7171.13366666667
"30",7124.68533333333
"31",7111.63433333333
"32",7010.01333333333
"33",6945.816
"34",6895.143
"35",6910.431
"36",6885.10966666667
"37",7558.099
"38",7444.06866666667
"39",7416.18433333333
"40",7456.57233333333
"41",7412.88766666667
"42",7402.70633333333
"43",7433.32533333333
"44",6679.25833333333
"45",6834.89266666667
"46",6837.34333333334
"47",7164.385
"48",6513.574
"49",7204.27433333333
"50",7150.17333333333
"51",7150.98866666667
"52",6885.76533333333
"53",6841.13733333333
"54",6794.74933333334
"55",6874.15233333333
"56",6853.24333333333
"57",6865.12533333333
"58",6806.31633333333
"59",7697.28166666667
"60",7519.52233333333
"61",7500.03066666667
"62",7384.98633333333
"63",7403.34566666667
"64",7434.74866666667
"65",6814.98666666666
"66",6755.77133333333
"67",6771.611
"68",6685.11266666666
"69",6473.757
"70",7242.14733333333
"71",6831.95666666667
"72",6731.83566666667
"73",6468.89433333333
"74",6487.768
"75",6914.29366666667
"76",6645.89766666666
"77",6779.217
"78",6718.51533333333
"79",6809.57366666667
"80",6851.49966666667
"81",6220.694
"82",6714.06266666666
"83",6750.504
"84",6585.74566666667
"85",6500.13833333333
"86",6435.14366666667
"87",6536.38266666667
"88",6535.95366666667
"89",6519.36966666667
"90",6409.998
"91",6466.11166666667
"92",6571.37333333333
"93",6614.816
"94",6687.96433333333
"95",6775.951
"96",7721.98633333333
"97",7742.57366666667
"98",7672.12366666667
"99",7392.21166666667
"100",7519.80466666667
"101",7446.866
"102",7374.10333333334
"103",7327.37566666667
"104",7425.14566666666
"105",6827.60466666667
"106",7360.92866666667
"107",6695.39766666667
"108",7106.90933333333
"109",7079.90166666667
"110",7086.53733333333
"111",6966.181
"112",6810.68033333333
"113",6908.552
"114",6784.498
"115",6621.99333333333
"116",6708.44566666667
"117",6556.34666666667
"118",6596.218
"119",6671.00866666666
"120",6225.21033333333
"121",6655.12933333333
"122",6705.693
"123",6520.63033333333
"124",6508.82866666667
"125",6424.089
"126",6444.659
"127",6455.23
"128",6515.728
"129",6506.35633333333
"130",6405.61533333333
"131",6448.32566666667
"132",6669.85033333333
"133",6704.621
"134",6846.32866666667
"135",6864.39966666667
"136",6991.112
"137",7027.133
"138",6638.20033333333
"139",7672.46
"140",7702.56266666667
"141",7661.86433333333
"142",7208.32533333333
"143",7417.33066666667
"144",7483.316
"145",7436.55166666667
"146",7248.986
"147",7196.86166666667
"148",7239.84166666667
"149",7194.21466666667
"150",7114.59833333334
"151",7047.56333333333
"152",7028.127
"153",6982.19333333333
"154",7136.85633333333
"155",6420.291
"156",6852.36766666667
"157",6776.372
"158",6629.40333333333
"159",6585.762
"160",6658.52166666667
"161",6537.13933333333
"162",6473.31
"163",6555.81766666667
"164",6524.55166666666
"165",6537.43366666667
"166",6480.848
"167",6490.222
"168",6449.07366666667
"169",6480.53933333333
"170",6497.04733333333
"171",6465.61133333333
"172",6538.94466666667
"173",6662.28233333333
"174",6439.27733333334
"175",6621.088
"176",6780.568
"177",6849.505
"178",6791.50166666667
"179",6890.63066666667
"180",7018.122
"181",7087.24966666667
"182",7178.17433333333
"183",7092.96766666666
"184",8032.75166666667
"185",7965.77266666667
"186",7336.29433333334
"187",7239.99033333333
"188",7651.50966666667
"189",7538.59833333333
"190",7409.466
"191",7482.31966666667
"192",7407.89166666667
"193",7099.02333333333
"194",7072.89033333333
"195",7139.73533333333
"196",7169.619
"197",7133.11533333333
"198",7093.89266666667
"199",7085.90733333333
"200",7019.447
"201",6938.73433333333
"202",6899.086
"203",6804.87466666667
"204",6680.26666666667
"205",6594.31133333333
"206",6544.222
"207",6506.57266666667
"208",6478.84733333334
"209",6460.017
"210",6433.715
"211",6369.74766666667
"212",6443.398
"213",6428.083
"214",6473.46966666667
"215",6458.52933333333
"216",5913.527
"217",6405.975
"218",6433.53333333333
"219",6508.37833333333
"220",6533.979
"221",6577.20266666667
"222",6579.69133333333
"223",6754.66733333333
"224",6494.849
"225",6843.12633333333
"226",6903.511
"227",7007.32433333333
"228",6630.954
"229",7112.77366666667
"230",7087.05333333333
"231",8108.87066666667
"232",7979.21133333333
"233",7427.56466666667
"234",7367.60666666667
"235",6994.69933333333
"236",7662.65933333333
"237",7513.93333333333
"238",7258.805
"239",7297.85533333333
"240",7343.001
"241",7076.22266666667
"242",6927.59066666667
"243",7157.48633333333
"244",7093.12966666667
"245",6379.479
"246",7028.41933333333
"247",7009.118
"248",6858.87233333333
"249",6911.82266666667
"250",6681.82633333333
"251",6772.80833333333
"252",6548.676
"253",6651.25833333333
"254",6548.66833333333
"255",6476.23433333333
"256",6404.25633333333
"257",6413.72866666667
"258",6326.44733333333
"259",6416.06933333333
"260",6398.33066666667
"261",6385.78133333333
"262",6420.56133333333
"263",6499.51933333333
"264",6488.20233333334
"265",6539.31133333333
"266",6549.84166666667
"267",6485.59233333333
"268",6459.04433333333
"269",6582.94833333333
"270",6438.23266666667
"271",6760.837
"272",6866.55366666667
"273",6854.61133333334
"274",6990.45466666667
"275",6983.526
"276",7069.42266666666
"277",7054.75833333333
"278",6373.52433333333
