year                            NPP                           NEE                           GPP                           TER                       HARVEST                          TSOC
1951    0.722527    -0.236421     1.119174     0.882753     0.417392     7.717731 
1952    0.520446    -0.136195     0.814156     0.677962     0.704792     7.590900 
1953    0.677558    -0.300854     1.047112     0.746259     1.092626     7.488800 
1954    0.696939    -0.334700     1.069565     0.734865     1.496353     7.414707 
1955    0.738781    -0.377137     1.122492     0.745355     1.936846     7.339568 
1956    0.725052    -0.363589     1.112348     0.748760     2.356432     7.284701 
1957    0.638229    -0.258590     0.971744     0.713154     2.708245     7.212321 
1958    0.554554    -0.215774     0.872221     0.656447     3.018584     7.134121 
1959    0.740255    -0.407143     1.127235     0.720092     3.455152     7.074880 
1960    0.639361    -0.288835     0.966814     0.677979     3.815207     7.016709 
1961    0.695661    -0.344685     1.064506     0.719821     4.198141     6.969169 
1962    0.623275    -0.294130     0.949592     0.655463     4.551808     6.918287 
1963    0.563411    -0.221093     0.886507     0.665414     4.861333     6.850961 
1964    0.687314    -0.365155     1.059439     0.694284     5.250851     6.805975 
1965    0.716647    -0.390206     1.087637     0.697431     5.669594     6.767030 
1966    0.644018    -0.307046     1.001293     0.694247     6.054290     6.706515 
1967    0.706676    -0.366476     1.093797     0.727321     6.457224     6.665548 
1968    0.532871    -0.201067     0.826658     0.625591     6.746788     6.602450 
1969    0.606813    -0.305508     0.940112     0.634604     7.096797     6.550160 
1970    0.698982    -0.382124     1.064338     0.682215     7.500728     6.512513 
1971    0.578825    -0.254159     0.889454     0.635295     7.820577     6.466725 
1972    0.680271    -0.360389     1.032357     0.671968     8.209518     6.422073 
1973    0.651049    -0.332031     1.001272     0.669241     8.575586     6.389328 
1974    0.779137    -0.453759     1.171924     0.718166     9.034606     6.361671 
1975    0.658434    -0.311027     1.030184     0.719157     9.421994     6.312335 
1976    0.698753    -0.365655     1.051978     0.686323     9.804929     6.285864 
1977    0.575639    -0.257089     0.878254     0.621165    10.131213     6.236877 
1978    0.764334    -0.454415     1.143499     0.689084    10.572628     6.216612 
1979    0.588312    -0.251373     0.906589     0.655216    10.898834     6.177293 
1980    0.763786    -0.454011     1.135601     0.681591    11.337553     6.158062 
1981    0.708622    -0.353007     1.088969     0.735962    11.735391     6.127295 
1982    0.707381    -0.360692     1.098651     0.737960    12.138096     6.092725 
1983    0.519480    -0.199009     0.818237     0.619228    12.427774     6.032442 
1984    0.725578    -0.425531     1.090961     0.665430    12.844843     6.005577 
1985    0.651092    -0.335406     0.991502     0.656096    13.220815     5.976275 
1986    0.590730    -0.277618     0.916170     0.638553    13.552118     5.935962 
1987    0.704829    -0.398350     1.073889     0.675539    13.945836     5.920466 
1988    0.661802    -0.328459     1.015427     0.686968    14.318133     5.886395 
1989    0.684383    -0.352626     1.040887     0.688261    14.708059     5.849243 
1990    0.699761    -0.367474     1.069374     0.701899    15.104947     5.816443 
1991    0.745010    -0.434050     1.131455     0.697405    15.547538     5.793015 
1992    0.669925    -0.334797     1.058169     0.723372    15.939066     5.756582 
1993    0.472398    -0.171135     0.738629     0.567494    16.189023     5.708881 
1994    0.628430    -0.315909     0.994901     0.678992    16.540459     5.660705 
1995    0.706477    -0.394404     1.094719     0.700315    16.942318     5.633110 
1996    0.481611    -0.190310     0.743019     0.552709    17.214631     5.586435 
1997    0.668464    -0.386144     1.030156     0.644012    17.607236     5.554144 
1998    0.676778    -0.372321     1.048801     0.676480    18.002700     5.525087 
1999    0.801820    -0.494012     1.262861     0.768848    18.509937     5.495199 
2000    0.501184    -0.169637     0.783290     0.613653    18.771103     5.457714 
2001    0.675274    -0.382068     1.049106     0.667038    19.159238     5.423397 
2002    0.548592    -0.230808     0.864743     0.633935    19.454122     5.381909 
2003    0.443245    -0.160076     0.712342     0.552266    19.681065     5.333558 
2004    0.704255    -0.420083     1.077663     0.657581    20.084002     5.309827 
2005    0.742619    -0.438821     1.151436     0.712615    20.539029     5.284705 
2006    0.598532    -0.280775     0.939861     0.659085    20.879590     5.253743 
2007    0.552610    -0.259455     0.884874     0.625419    21.189045     5.210097 
2008    0.645795    -0.342601     1.025047     0.682447    21.562128     5.172415 
2009    0.588237    -0.294757     0.947916     0.653159    21.903471     5.132063 
2010    0.590945    -0.325532     0.928717     0.603185    22.259011     5.099165 
2011    0.587377    -0.285893     0.927689     0.641796    22.570595     5.075590 
2012    0.506460    -0.212907     0.812301     0.599394    22.836587     5.038447 
2013    0.526590    -0.263115     0.830487     0.567373    23.138604     4.999460 
2014    0.604418    -0.323862     0.951507     0.627645    23.490860     4.959581 
2015    0.551467    -0.259328     0.878307     0.618979    23.791397     4.926915 
2016    0.726183    -0.435579     1.139737     0.704158    24.219209     4.906367 
2017    0.593027    -0.279227     0.938274     0.659047    24.546664     4.880122 
2018    0.465057    -0.191872     0.771605     0.579733    24.821481     4.821395 
