new_id;100m_rep_id;lat (deg);long (deg);elev (m);fboritas;nuts3;Tavg;dTavg
1;26410;45.8;17.9;97;3;HU231;11;10.31
2;39204;45.8;18;95;1;HU231;11.09;10.31
3;52852;45.8;18.1;92;1;HU231;11.31;10.12
4;28484;45.8;18.2;91;1;HU231;11.33;10.19
5;7167;45.8;18.3;90;1;HU231;11.17;10.46
6;9189;45.8;18.4;92;1;HU231;11.02;10.66
7;19344;45.8;18.5;96;1;HU231;11.02;10.7
8;155341;45.9;17.7;102;1;HU232;10.71;10.03
9;78987;45.9;17.8;101;3;HU231;10.95;10.22
10;137137;45.9;17.9;100;1;HU231;10.84;9.97
11;120572;45.9;18;100;1;HU231;11.23;10.12
12;144164;45.9;18.1;110;1;HU231;11.12;10.36
13;121161;45.9;18.2;138;1;HU231;10.71;10.75
14;121564;45.9;18.3;158;1;HU231;11.16;10.19
15;76905;45.9;18.4;145;1;HU231;11.09;10.06
16;128320;45.9;18.5;121;1;HU231;10.86;10.39
17;123008;45.9;18.6;108;1;HU231;11.22;10.22
18;167547;45.9;18.8;85;3;HU231;11.14;10.53
19;207188;46;17.4;113;1;HU232;10.82;9.9
20;352876;46;17.5;129;3;HU232;10.61;10.06
21;248850;46;17.6;125;3;HU232;10.74;9.95
22;213308;46;17.7;112;1;HU231;10.9;10.11
23;244487;46;17.8;108;1;HU231;11.03;9.94
24;276433;46;17.9;108;1;HU231;11.25;9.87
25;249959;46;18;114;1;HU231;11.55;9.72
26;314968;46;18.1;143;1;HU231;11.6;10.13
27;235263;46;18.2;171;1;HU231;11.08;9.52
28;288277;46;18.3;172;1;HU231;10.74;9.17
29;246214;46;18.4;160;1;HU231;11.04;10.02
30;266999;46;18.5;161;1;HU231;10.23;10.11
31;283565;46;18.6;125;1;HU231;10.78;10.41
32;333246;46;18.7;90;1;HU231;10.87;10.74
33;362111;46;18.8;83;1;HU231;11.07;10.54
34;161088;46;18.9;84;1;HU331;11.19;10.42
35;196998;46;19;88;1;HU331;11.25;10.37
36;357185;46;19.2;106;1;HU331;10.99;10.39
37;409777;46.1;17.3;125;1;HU232;10.76;9.72
38;435411;46.1;17.4;130;3;HU232;10.74;10.08
39;556370;46.1;17.5;153;3;HU232;10.46;9.93
40;518506;46.1;17.6;154;3;HU232;10.79;9.73
41;477253;46.1;17.7;140;1;HU231;10.72;9.83
42;568026;46.1;17.8;145;1;HU231;10.64;9.79
43;441933;46.1;17.9;177;3;HU231;10.23;9.15
44;503374;46.1;18;189;3;HU231;10.73;10.94
45;563248;46.1;18.1;268;3;HU231;8.89;9.53
46;546550;46.1;18.2;343;3;HU231;8.11;7.24
47;478430;46.1;18.3;231;3;HU231;10.21;11
48;509488;46.1;18.4;197;1;HU231;10.04;11.21
49;458256;46.1;18.5;193;1;HU231;9.88;10.26
50;408002;46.1;18.6;164;1;HU231;10.38;10.85
51;413027;46.1;18.7;133;1;HU231;10.31;10.36
52;489574;46.1;18.8;91;1;HU331;10.96;10.44
53;593523;46.1;18.9;88;1;HU331;11.13;10.65
54;582319;46.1;19;101;1;HU331;11.14;10.44
55;414003;46.1;19.1;112;1;HU331;10.91;10.43
56;480377;46.1;19.2;115;1;HU331;10.94;10.4
57;470129;46.1;19.3;116;1;HU331;11;10.44
58;475291;46.1;19.4;127;1;HU331;10.87;10.48
59;685597;46.2;17.1;125;1;HU232;10.79;9.71
60;886500;46.2;17.2;142;3;HU232;10.33;9.91
61;912086;46.2;17.3;137;3;HU232;10.61;9.68
62;626547;46.2;17.4;133;3;HU232;10.56;9.98
63;760681;46.2;17.5;155;3;HU232;10.57;10.08
64;646865;46.2;17.6;176;3;HU232;10.64;9.64
65;736474;46.2;17.7;193;3;HU232;9.92;9.61
66;939288;46.2;17.8;190;3;HU231;10.54;10.36
67;651856;46.2;17.9;194;3;HU231;10.39;11.59
68;846441;46.2;18;234;3;HU231;10.66;9.55
69;617378;46.2;18.1;188;3;HU231;10.81;11.17
70;857027;46.2;18.2;228;3;HU231;10.16;11.34
71;652223;46.2;18.3;323;3;HU231;10.29;10.09
72;668110;46.2;18.4;369;3;HU231;10.51;8.2
73;862489;46.2;18.5;233;3;HU231;10.27;10.77
74;899390;46.2;18.6;212;3;HU233;9.79;9.31
75;728045;46.2;18.7;123;1;HU233;11.25;10.07
76;662736;46.2;18.8;86;1;HU233;10.89;10.59
77;828218;46.2;18.9;90;3;HU331;11.23;10.35
78;900113;46.2;19;112;1;HU331;10.91;10.61
79;787624;46.2;19.1;140;1;HU331;10.86;10.19
80;777674;46.2;19.2;125;1;HU331;10.89;10.45
81;732898;46.2;19.3;125;1;HU331;10.89;10.47
82;859229;46.2;19.4;130;1;HU331;10.81;10.42
83;517280;46.2;19.5;130;1;HU331;10.84;10.32
84;808377;46.2;19.6;127;3;HU331;10.83;10.33
85;946683;46.2;19.7;119;3;HU333;10.86;10.37
86;803724;46.2;19.8;108;3;HU333;10.76;10.17
87;708887;46.2;19.9;91;1;HU333;11.02;10.23
88;885620;46.2;20;81;1;HU333;10.98;10.18
89;704800;46.2;20.1;75;1;HU333;11.14;10.33
90;814556;46.2;20.2;76;1;HU333;11.15;10.26
91;849493;46.2;20.3;77;1;HU333;11.15;10.29
92;719963;46.2;20.4;78;1;HU333;11.17;10.35
93;932047;46.2;20.5;80;1;HU333;11.16;10.33
94;775059;46.2;20.6;84;1;HU333;11.15;10.35
95;886287;46.2;20.7;86;1;HU333;11.15;10.36
96;1167470;46.3;16.9;177;3;HU232;10.43;9.99
97;1072921;46.3;17;171;1;HU232;10.27;9.09
98;1102744;46.3;17.1;162;1;HU232;10.08;10.12
99;1162754;46.3;17.2;161;3;HU232;10.13;10.02
100;1303961;46.3;17.3;156;3;HU232;10.43;9.89
101;1349154;46.3;17.4;140;1;HU232;10.68;9.94
102;1203470;46.3;17.5;154;3;HU232;10.52;10.41
103;1283896;46.3;17.6;179;1;HU232;10.31;10.16
104;1288990;46.3;17.7;187;3;HU232;10.23;10.05
105;1123470;46.3;17.8;200;3;HU232;10.56;9.82
106;1264287;46.3;17.9;195;3;HU232;10.34;9.84
107;1214535;46.3;18;187;3;HU231;10.47;9.57
108;1259425;46.3;18.1;161;1;HU231;10.92;9.65
109;1219851;46.3;18.2;179;3;HU231;11.15;9.96
110;1234199;46.3;18.3;206;1;HU231;10.33;11.28
111;1134721;46.3;18.4;192;1;HU233;10.71;11.05
112;1239399;46.3;18.5;150;1;HU233;11.16;10.09
113;1084603;46.3;18.6;169;3;HU233;10.38;10.53
114;1169254;46.3;18.7;126;1;HU233;11.37;9.44
115;1135199;46.3;18.8;87;1;HU233;10.68;10.86
116;1114534;46.3;18.9;91;3;HU233;11;10.27
117;1169826;46.3;19;97;1;HU331;10.83;10.99
118;1140284;46.3;19.1;141;3;HU331;10.84;10.16
119;1200453;46.3;19.2;143;3;HU331;10.98;9.95
120;1174818;46.3;19.3;137;1;HU331;10.76;10.47
121;1196052;46.3;19.4;138;1;HU331;10.72;10.42
122;1261352;46.3;19.5;129;1;HU331;10.79;10.48
123;1291513;46.3;19.6;128;3;HU331;10.65;10.4
124;1056446;46.3;19.7;119;3;HU333;10.81;10.34
125;1296244;46.3;19.8;105;1;HU333;10.92;10.25
126;982190;46.3;19.9;92;1;HU333;10.94;10.23
127;1095730;46.3;20;84;1;HU333;11.06;10.09
128;1136443;46.3;20.1;77;1;HU333;11.1;10.23
129;1206849;46.3;20.2;76;1;HU333;11.14;10.2
130;1368127;46.3;20.3;76;1;HU333;11.16;10.23
131;967645;46.3;20.4;76;1;HU333;11.16;10.32
132;1186994;46.3;20.5;80;1;HU333;11.12;10.35
133;1343063;46.3;20.6;85;1;HU333;11.07;10.31
134;1047370;46.3;20.7;88;1;HU333;11.08;10.35
135;1242240;46.3;20.8;93;1;HU332;10.93;10.35
136;1227603;46.3;20.9;98;1;HU332;10.93;10.39
137;1268058;46.3;21;97;1;HU332;10.97;10.46
138;1333585;46.3;21.1;97;1;HU332;11.02;10.43
139;1715828;46.4;16.8;148;1;HU223;10.66;10.04
140;1468901;46.4;16.9;156;1;HU223;10.5;10.38
141;1716224;46.4;17;171;3;HU223;10.01;10.19
142;1670448;46.4;17.1;185;1;HU232;10.27;9.29
143;1793559;46.4;17.2;158;3;HU232;10.41;9.72
